	pub_type	alt_people_text	name	pub_year	pub_journal	pub_vol	pub_issue	page_start	page_end	abstract	citations	download_link
	2	S. Sajith, K. S. R. Krishna Murthy and P. S. Robi	Prediction of accurate mixed mode fatigue crack growth curves using the Paris? law	2018	Journal of The Institution of Engineers (India): Series C.	Available online					0	
	2	W.G. Jiru, M.R. Sankar and U.S. Dixit	Laser surface alloying of aluminum for improving acid corrosion resistance	2018	Journal of Institution of Engineers, Series (C)	Available online					0	
	2	R. Bhadra, P. Pankaj, P. Biswas and U.S. Dixit	Thermo-mechanical analysis of CO2 laser butt welding on AISI 304 steel thin plates	2018	International Journal of Steel Structures	Available online		1	14		0	
	2	K.K. Gajrani, R. P. K. Reddy and M.R. Sankar	Tribo-mechanical, surface morphological comparison of un-textured, mechanical micro-textured (M?T) and coated-M?T cutting tools during machining	2018	Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology	Available online	DOI: 10.1177/1350650118764975				0	
	2	Sachin Singh, Deepu Kumar, M. Ravi Sankar, V.K. Jain	Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process	2018	International Journal of Advanced Manufacturing Technology	Available online	DOI: 10.1007/s00170-018-1912-2.				0	
	2	Rasmi Ranjan Behera, M. Ravi Sankar, Prahlad Kumar Baruah, Ashwini Kumar Sharma, Alika Khare	Experimental investigation of nanosecond-pulsed Nd:YAG laser beam micromachining on 304 stainless steel	2018	Journal of Micromanufacturing	Available online	DOI: 10.1177/2516598418766937				0	
	2	M. Ravi Sankar, V.K. Jain, J. Ramkumar, Shivesh K. Sareen, Sachin Singh	Medium rheological characterization and performance study during rotational abrasive flow finishing (R-AFF) of Al alloy and Al alloy/SiC MMCs	2018	International Journal of Advanced Manufacturing Technology	Available online	DOI: 10.1007/s00170-018-2244-y				0	
	2	Rasmi Ranjan Behera, Abshar Hasan, M. Ravi Sankar, L.M. Pandey	Laser cladding with HA and functionally graded TiO2-HA precursors on Ti-6Al-4V alloy for enhancing bioactivity and cyto-compatibality	2018	Surface and Coatings Technology	Available online	DOI: 10.1016/j.surfcoat.2018.08.044				0	
	2	Anwesa Barman, Manas Das	Magnetic field assisted finishing process for super-finished Ti alloy implant and its 3D surface characterization	2018	The Proceedings of the Institution of Mechanical Engineers	Available online	DOI: https://doi.org/10.1177/2516598418785506				0	
	2	Anupam Alok, Manas Das	Multi-objective optimization of cutting parameters during sustainable dry hard turning of AISI 52100 steel with newly develop HSN2?coated carbide insert	2018	Measurement	Available online	DOI: https://doi.org/10.1016/j.measurement.2018.10.009				0	
	2	Pranjol Paul, K.S.R.K. Murthy and D. Chakraborty	A strain gage technique for mode I notch stress intensity factor of sharp Vnotched configurations	2018	Journal of The Institution of Engineers (India): Series C.	Available online					0	
	2	K.K. Gajrani, R. P. K. Reddy and M.R. Sankar	Tribo-mechanical, surface morphological comparison of un-textured, mechanical micro-textured (MµT) and coated-MµT cutting tools during machining	2018	Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology	Available online	DOI: 10.1177/1350650118764975				0	
	2	P. Dinesh, M.R. Behera, P.G. Ranjith, N. Muthu	An element-free Galerkin method using vertically averaged multiphase flow model for carbon sequestration	2018	Computers and Geotechnics	Available Online					0	
	2	G. Ranjan and R. Tiwari	Application of Active Magnetic Bearings for In-Situ Flexible Rotor Residual Balancing Using a Novel Generalized Influence Coefficient Method	2018	Inverse Problems in Science & Engineering	Available online	https://doi.org/10.1080/17415977.2018.1503258				0	
	2	Vikas Prasad and R. Tiwari	Identification of Speed-Dependent Active Magnetic Bearing Parameters and Rotor Balancing in High-Speed Rotor Systems	2018	ASME, Journal of Dynamic Systems, Measurement and Control	Available online	doi:10.1115/1.4042026				0	
	2	J. S. Rapur and R. Tiwari	On-line Time Domain Vibration and Current Signals Based Multi-Fault Diagnosis of Centrifugal Pumps using Support Vector Machines	2018	Journal of Nondestructive Evaluation	Available online	https://doi.org/10.1007/s10921-018-0544-7	1	18		0	
	2	R. K. Ojha and S. K Dwivedy	Dynamic Analysis of Sandwich Plates with Isotropic Skins and Viscoelastic Core	2018	International Journal of Structural Stability and Dynamics	Available Online					0	
	2	N. Alom and U. K. Saha	Examining the aerodynamic drag and lift characteristics of a newly developed elliptical-bladed Savonius rotor	2018	ASME Journal of Energy Resources Technology	Available Online					0	
	2	A. Sarkar and U. K. Saha	A critique on the research activities and potential benefits of dual fuel diesel engine run on biogas and biofuel-blended biodiesel	2018	ASME Journal of Engineering for Gas Turbines and Power	Available Online					0	
	2	S. Sarma, N. Sahoo and A. Unal	Prediction of impulse heat load on thin film gauges through soft computing technique	2018	Journal of the Institution of Engineers (India): Series C	Article in Press	doi: 10.1007/s40032-018-0458-2				0	
	2	B Kiran Naik, Mrinal Bhowmik, P Muthukumar	Experimental investigation and numerical modelling on the performance assessments of evacuated U–Tube solar collector systems	2018	Renewable Energy	Article in Press	https://doi.org/10.1016/j.renene.2018.09.066				0	
	2	B Kiran Naik, P Muthukumar	Energy, Entransy and Exergy Analyses of a Liquid Desiccant Regenerator	2018	International Journal of Refrigeration	Article in Press	https://doi.org/10.1016/j.ijrefrig.2018.08.016				0	
	2	B Kiran Naik, P Muthukumar, C Bhattacharyya	Thermal modelling and parametric investigations on coupled heat and mass transfer processes occurred in a packed tower	2018	Heat and Mass Transfer	Article in Press	https://doi.org/10.1007/s00231-018-2440-1	1	18		0	
	2	S. Sarma, N. Sahoo and A. Unal	Prediction of impulse heat load on thin film gauges through soft computing technique	2018	Journal of the Institution of Engineers (India): Series C	Article in Press	doi: 10.1007/s40032-018-0458-2				0	
	2	B Kiran Naik, Mrinal Bhowmik, P Muthukumar	Experimental investigation and numerical modelling on the performance assessments of evacuated U?Tube solar collector systems	2018	Renewable Energy	Article in Press	https://doi.org/10.1016/j.renene.2018.09.066				0	
	2	B Kiran Naik, P Muthukumar	Energy, Entransy and Exergy Analyses of a Liquid Desiccant Regenerator	2018	International Journal of Refrigeration	Article in Press	https://doi.org/10.1016/j.ijrefrig.2018.08.016				0	
	2	B Kiran Naik, P Muthukumar, C Bhattacharyya	Thermal modelling and parametric investigations on coupled heat and mass transfer processes occurred in a packed tower	2018	Heat and Mass Transfer	Article in Press	https://doi.org/10.1007/s00231-018-2440-1	1	18		0	
	2	B Kiran Naik, Mrinal Bhowmik, P Muthukumar	Experimental investigation and numerical modelling on the performance assessments of evacuated U–Tube solar collector systems	2018	Renewable Energy	Article in Press	https://doi.org/10.1016/j.renene.2018.09.066				0	
	2	S. gorthi, H. S. Gaikwad, P. K. Mondal, G. Biswas	Surface Tension Driven Filling in a Soft Microchannel: Role of Streaming Potential	2019	Industrial & Engineering Chemistry Research	Article in Press		DOI: 10.1021/acs.iecr.9b00767			0	
	2	Sarita Bharti, S Senthilvelan	Effects of lubricant on the surface durability of an injection molded polyamide 66 spur gear paired with a steel gear	2019	Tribology International	Article In Press					0	
	2	S. Sajith, K. S. R. Krishna Murthy and P. S. Robi	A simple technique for estimation of mixed mode (I/II) stress intensity factors	2018	Journal of Mechanics of Materials and Structures	Acepted for publication					0	
	2	M.K. Hussian and K.S.R.K. Murthy	A point substitution displacement technique for estimation of elastic notch stress intensities of sharp V-notched bodies	2018	Journal of Mechanics of Materials and Structures	Acepted for publication					0	
	2	M. K. Dubey and S. Panda	Shear-based vibration control of annular sandwich plates using different piezoelectric fiber composites: A comparative study	2019	Journal of Sandwich Structures & Materials	Accepted(doi.org/10.1177/1099636219838446)					0	
	2	Parth Paritosh, Bhaben Kalita and Deepak Sharma	A Game Theory based Land Layout Optimization of Cities Using Genetic Algorithm	2018	International Journal of Management Science and Engineering Management	Accepted, Available onlint					0	
	2	Nada Barakat and Deepak Sharma	Evolutionary Multi-Objective Optimization for Bulldozer and its Blade in Soil Cutting	2018	International Journal of Management Science and Engineering Management	Accepted, Available onlint					0	
	2	Nada Barakat and Deepak Sharma	Modeling and Bi-Objective Optimization of Soil Cutting and Pushing Process for Bulldozer and its Blade	2018	Journal of The Institution of Engineers (India): Series C	Accepted, Available onlint					0	
	2	Deepak Sharma and Nada Barakat	Evolutionary Bi-Objective Optimization for Bulldozer and its Blade in Soil Cutting	2018	Journal of The Institution of Engineers (India): Series C	Accepted, Available onlint					0	
	2	Parth Paritosh, Bhaben Kalita and Deepak Sharma	A Game Theory based Land Layout Optimization of Cities Using Genetic Algorithm	2018	International Journal of Management Science and Engineering Management	Accepted, Available onlint					0	
	2	Nada Barakat and Deepak Sharma	Evolutionary Multi-Objective Optimization for Bulldozer and its Blade in Soil Cutting	2018	International Journal of Management Science and Engineering Management	Accepted, Available onlint					0	
	2	Muthukumar P, Bukke Kiran Naik, Amarendra Goswami	Performance Evaluation of a Mechanical Draft Cross Flow Cooling Towers Employed in a Subtropical Region	2018	Journal of The Institution of Engineers (India)	Accepted on 28th Dec 2017					0	
	2	Muthukumar P, Bukke Kiran Naik, Amarendra Goswami	Performance Evaluation of a Mechanical Draft Cross Flow Cooling Towers Employed in a Subtropical Region	2018	Journal of The Institution of Engineers (India)	Accepted on 28th Dec 2017					0	
	2	Hakeem Niyas, Muthukumar P	A Novel Encapsulation Technique for Performance Improvements in Latent Heat Storage System	2018	Solar Energy	Accepted on 15 Jan 2018					0	
	2	Hakeem Niyas, Muthukumar P	A Novel Encapsulation Technique for Performance Improvements in Latent Heat Storage System	2018	Solar Energy	Accepted on 15 Jan 2018					0	
	2	K. K. Gajrani, S. Suresh, M. Ravi Sankar,	Environmental friendly hard machining performance of uncoated and MoS2 coated mechanical micro-textured tungsten carbide cutting tools	2018	Tribology International	Accepted for Publication					0	
	2	K. K. Gajrani, R. P. Reddy, M. Ravi Sankar	Tribo-Mechanical, Surface Morphological Comparison of Un-Textured, Mechanical Micro-Textured (MμT) and Coated MμT Cutting Tools during Machining	2018	IMechE, Part J: Journal of Engineering Tribology	Accepted for Publication					0	
	2	S. Singh, D. Kumar, M. Ravi Sankar	Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process	2018	International Journal of Advanced Manufacturing Technology	Accepted for Publication					0	
	2	W. Jiru, M. Ravi Sankar, U. S. Dixit	Laser Surface Melting of Al-12Si-4Cu-1.2Mn Alloy	2018	International Journal of Mechatronics and Manufacturing Systems	Accepted for Publication					0	
	2	S. Pati, P.K. Mondal	Limiting thermal characteristics for flow of non-Newtonian fluids between asymmetrically heated parallel plates: An analytical study	2018	Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering	Accepted for Publication					0	
	2	H.S. Gaikwad, P.K. Mondal, D. N. Basu, N. Chimres, S. Wongwises	Analysis of the effects of Joule heating and viscous dissipation on combined pressure-driven and electrokinetic flows in a two-parallel plate channel with unequal constant temperatures	2018	Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering	Accepted for Publication					0	
	2	Vishal Agrawal, Sachin S. Gautam	Higher-order Hermite enriched contact finite elements for adhesive contact problems,	2018	International Journal of Materials and Structural Integrity,	Accepted for Publication					0	
	2	Vishal Agrawal, Sachin S. Gautam	IGA: A simplified introduction and implementation details for finite element users	2018	Journal of The Institution of Engineers (India): Series C	Accepted for Publication					0	
	2	Manish Kumar Dubey and Satyajit Panda	A balanced laminate of piezoelectric fiber composite for improved shear piezoelectric actuation of beams	2018	Mechanics of Advanced Materials and Structures.	Accepted for publication					0	
	2	K. K. Gajrani, S. Suresh, M. Ravi Sankar,	Environmental friendly hard machining performance of uncoated and MoS2 coated mechanical micro-textured tungsten carbide cutting tools	2018	Tribology International	Accepted for Publication					0	
	2	K. K. Gajrani, R. P. Reddy, M. Ravi Sankar	Tribo-Mechanical, Surface Morphological Comparison of Un-Textured, Mechanical Micro-Textured (M?T) and Coated M?T Cutting Tools during Machining	2018	IMechE, Part J: Journal of Engineering Tribology	Accepted for Publication					0	
	2	S. Singh, D. Kumar, M. Ravi Sankar	Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process	2018	International Journal of Advanced Manufacturing Technology	Accepted for Publication					0	
	2	W. Jiru, M. Ravi Sankar, U. S. Dixit	Laser Surface Melting of Al-12Si-4Cu-1.2Mn Alloy	2018	International Journal of Mechatronics and Manufacturing Systems	Accepted for Publication					0	
	2	S. Pati, P.K. Mondal	Limiting thermal characteristics for flow of non-Newtonian fluids between asymmetrically heated parallel plates: An analytical study	2018	Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering	Accepted for Publication					0	
	2	H.S. Gaikwad, P.K. Mondal, D. N. Basu, N. Chimres, S. Wongwises	Analysis of the effects of Joule heating and viscous dissipation on combined pressure-driven and electrokinetic flows in a two-parallel plate channel with unequal constant temperatures	2018	Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering	Accepted for Publication					0	
	2	Piyush Singh, Pankaj Biswas and Sachin D	Influence of Welding Traverse Speed in Self-Reacting Friction Stir Welding of Aluminium alloy AA6061-T6	2018	Journal of Ship Production and Design	Accepted for Publication					0	
	2	H. K. Narang, M. M. Mahapatra, P. K. Jha, PVSS Sridhar and P. Biswas	Experimental and Numerical Study on Effect of Weld Reinforcement on Angular Distortion of SAW Square butt Welded Plates	2018	Journal of Welding and Joining	Accepted for Publication					0	
	2	S. Behera, P. Kumari	Free Vibration of Levy-type Rectangular Laminated Plates using Efficient Zig-Zag Theory	2018	Advances in Computational Design	Accepted for Publication					0	
	2	A. Singh, P. Kumari	Two-Dimensional elasticity solution for arbitrarily supported axially functionally graded	2018	Journal of Solid Mechanics	Accepted for Publication					0	
	2	Poonam Kumari, Shranish Kar	Static behavior of arbitrarily supported composite laminated cylindrical shell panels: An analytical 3D elasticity approach	2018	Composite Structures	Accepted for Publication					0	
	2	Agyapal Singh, Poonam Kumari	Analytical Solution of Functionally Graded Beam Having Longitudinal Stiffness Variation	2018	International Journal for Computational Methods in Engineering Science & Mechanics	Accepted for Publication					0	
	2	Agyapal Singh, Poonam Kumari, and Rupam Hazarika	Analytical Solution for Bending Analysis of Axially Functionally Graded Angle-Ply Flat Panels	2018	Mathematical Problems in Engineering	Accepted for Publication					0	
	2	Vishal Agrawal, Sachin S. Gautam	Higher-order Hermite enriched contact finite elements for adhesive contact problems,	2018	International Journal of Materials and Structural Integrity,	Accepted for Publication					0	
	2	Vishal Agrawal, Sachin S. Gautam	IGA: A simplified introduction and implementation details for finite element users	2018	Journal of The Institution of Engineers (India): Series C	Accepted for Publication					0	
	2	Manish Kumar Dubey and Satyajit Panda	A balanced laminate of piezoelectric fiber composite for improved shear piezoelectric actuation of beams	2018	Mechanics of Advanced Materials and Structures.	Accepted for publication					0	
	2	S. Behera, P. Kumari	Analytical piezoelasticity solution for natural frequencies of levy-type piezolaminated plates	2019	International Journal of Applied Mechanics	Accepted for Publication					0	
	2	Utpal Kiran, Deepak Sharma, Sachin Singh Gautam	GPU warp based FE matrices generation and assembly using coloring method	2018	Journal of Parallel and Distributed Computing	Accepted					0	
	2	Vishal Agrawal, Sachin Singh Gautam	NURBS-enriched contact isogeometric element for adhesive contact problems	2018	Journal of Aerospace Systems Engineering	Accepted					0	
	2	Utpal Kiran, Deepak Sharma, Sachin Singh Gautam	GPU warp based FE matrices generation and assembly using coloring method	2018	Journal of Parallel and Distributed Computing	Accepted					0	
	2	Vishal Agrawal, Sachin Singh Gautam	NURBS-enriched contact isogeometric element for adhesive contact problems	2018	Journal of Aerospace Systems Engineering	Accepted					0	
	2	Avinish Tiwari, Pardeep Pankaj, Pankaj Biswas, Sachin D. Kore, and A Gourav Rao	Tool performance evaluation of friction stir welded Shipbuilding grade DH36 steel butt joints	2019	International Journal of Advanced Manufacturing Technology						0	
	2	Purnendu Kumar Mandal, P.S. Robi,	Influence of micro-alloying with silver on microstructure and mechanical Properties of Al-Cu alloy	2018	Materials Science and Engineering A.	A722	1	99	111		0	
	2	Purnendu Kumar Mandal, P.S. Robi,	Influence of micro-alloying with silver on microstructure and mechanical Properties of Al-Cu alloy	2018	Materials Science and Engineering A.	A722	1	99	111		0	
	2	V.Yadav,A.K.Singh and U.S.Dixit	Inverse estimation of thermal parameters and friction coefficient during warm flat rolling process.	2015	Internation Journal of Mechanical Sciences	96-97		182	198		0	
	2	Patel, C.,?Kore, S.D.	Dual electromagnetic forming using single uniform pressure Coil	2014	Key Engineering Materials	611-612		723	730		0	
	2	Doley, J.K.,?Kore, S.D.	Electromagnetic formability of an aluminium ice tray	2014	Key Engineering Materials	611-612		1124	1131		0	
	2	J.K. Doley, S.D. Kore	Fully Coupled Numerical Simulation of Electromagnetic Forming	2012	Key Engineering Materials	504-506	-	1201	1206		0	
	2	S.D. Kore, P.N. Vinod, S. Kumar, M. R. Kulkarni	Study of Wavy Interface in Electromagnetic Welds	2012	Key Engineering Materials	504-506	-	729	734		0	
	2	Mukesh Kumar, Satish V. Kailas, R. Ganesh Narayanan	In-Plane Plane-Strain formability investigation of friction stir welded sheets made of dissimilar Aluminium alloys	2014	Applied Mechanics and Materials	446-447	0	301	305		0	
	2	S. Bag and A. De	Probing reliability of transport phenomena based heat transfer and fluid flow analysis in autogeneous fusion welding process	2010	Metallurgical and Materials Transactions A	41A	9	2337	2347		3	
	2	Deep Sharma and S. K. Dwivedy	Design and Fabrication of an Autonomous Mobile Robot for Obstacle Avoidance and Path Planning in partially known Environment	2012	Advanced Material Research	403-408	-	3917	3924		0	
	2	S. Bag and A. De	Development of a three-dimensional heat transfer model for GTAW process using finite element method coupled with a genetic algorithm based identification of uncertain input parameters	2008	Metallurgical and Materials Transactions A	39A	11	2698	2710		15	
	2	Susanta Kumar Dey, R. Ganesh Narayanan, G. Saravana Kumar	Prediction of tensile behavior of DP 590 Steel Tailor Welded Blanks by ANN	2012	Advanced Materials Research	383-390	-	1019	1026		0	
	2	M.Pathak, A.Dewan and A.K.Dass	Effect of Streamline Curvature on Flow Field of a Turbulent Plane Jet in Cross Flow	2007	Mechanics Research Communications	34/3	-	241	248		3	
	2	Arun Kadian & Biswas Pankaj	The study of material flow behaviour in dissimilar material FSW of AA6061 and Cu-B370 alloys plates	2018	Journal of Manufacturing Processes	34, Part A					0	
	2	PS Rama Sreekanth, S Kanagaraj	Influence of multi walled carbon nanotubes reinforcement and gamma irradiation on the wear behaviour of UHMWPE	2015	Wear	334-335		82	90		0	
	2	Fonseca A, Kanagaraj S, Oliveira MSA, Simoes JAO	Enhanced UHMWPE reinforced with MWCNT through mechanical ball-milling	2011	Defect and Diffusion Forum	312-315	-	1238	1243		4	
	2	Kanagaraj S, Fonseca A, Guedes RM, Oliveira MSA, Simoes JAO	Thermo-mechanical behaviour of ultrahigh molecular weight polyethylene-carbon nanotubes composites under different cooling techniques	2011	Defect and Diffusion Forum	312-315	-	331	340		0	
	2	M. Ravi Sankar, J. Ramkumar, S Aravindan	Machining of Metal Matrix Composites with Minimum Quantity Cutting Fluid and Flood Cooling	2011	Advanced Materials Research	299-300	-	1052	1055		0	
	2	S. Arun, P S Rama Sreekanth, S. Kanagaraj	Mechanical characterization of PMMA/SWNTs bone cement using Nanoindenter	2014	Advanced Biomaterials	29(B1)		4	9		0	
	2	Kanagaraj S, Varanda FR, Oliveira MSA, Simoes JAO	Theoretical model development for nanofluids thermal effectiveness	2006	Defect and Diffusion Forum	258-260	-	164	171		1	
	2	Anil Bora, P.P. Singha, P.S. Robi and A.Srinivasan	Powder Metallurgy Processing of Ruthenium Aluminium alloys	2004	J. of Materials Processing Technology	153-154	-	952	957		1	
	2	Piyush Gupta, P.S. Robi, P.P. Singha, and A. Srinivasan	Preparation and Characterization of Ferro-magnetic Shape Memory alloys	2004	J. of Materials Processing Technology	153-154	-	965	970		0	
	2	S. Chandra and U.S. Dixit	A rigid-plastic finite element analysis of temper rolling process	2004	J. Mater. Process. Tech.	152/1	-	9	16		12	
