page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	principal_investigator	description	name	start_date	end_date	budget	funding_agency	funding_agency_link	project_type	alt_PI_text
927	927	0001000100030003000B	5	0	Mechanization of FCI Godown Operations Phase II	Mechanization of FCI Godown Operations Phase II	10	16	1	0	/mech/research/projects/10/			0				0	0						Co-Investigator(s) : Dr. S. D. Kore	Mechanization of FCI Godown Operations Phase II	2013-01-01	2015-01-01	20	Food Corporation of India Ltd. 		0	Dr. S. N. Joshi
928	928	0001000100030003000C	5	0	Feasibility study for implementing HTS generator in place of conventional generator in a hydro-electric power plant	Feasibility study for implementing HTS generator in place of conventional generator in a hydro-electric power plant	11	16	1	0	/mech/research/projects/11/			0				0	0						Co-Investigator(s) : Dr. S. Pal, Dr. S. K. Kakoty	Feasibility study for implementing HTS generator in place of conventional generator in a hydro-electric power plant	2013-01-01	2015-01-01	28	NEEPCO		0	Dr. K. Kalita
929	929	0001000100030003000D	5	0	Design and Development of custom made remotely operable Shot blasting system with robotic arms for use in steeply inclined long penstocks	Design and Development of custom made remotely operable Shot blasting system with robotic arms for use in steeply inclined long penstocks	12	16	1	0	/mech/research/projects/12/			0				0	0						Co-Investigator(s) : Dr. K. Kalita, Dr. S. K. Kakoty	Design and Development of custom made remotely operable Shot blasting system with robotic arms for use in steeply inclined long penstocks	2012-01-01	2013-01-01	30.17	NEEPCO		0	Dr. S. Pal
930	930	0001000100030003000E	5	0	Mechanization of FCI Godown Operations Phase I	Mechanization of FCI Godown Operations Phase I	13	16	1	0	/mech/research/projects/13/			0				0	0						Co-Investigator(s) : Dr. S. D. Kore	Mechanization of FCI Godown Operations Phase I	2012-01-01	2013-01-01	14.25	Food Corporation of India Ltd. 		0	Dr. S. N. Joshi
931	931	0001000100030003000F	5	0	Characterization of form, fill, seal and packing machine	Characterization of form, fill, seal and packing machine	14	16	1	0	/mech/research/projects/14/			0				0	0							Characterization of form, fill, seal and packing machine	2012-01-01	2012-01-01	1	Central Excise Guwahati		0	Dr. S. D. Kore
932	932	0001000100030003000G	5	0	Testing of LRPC of Size 12.7 mm	Testing of LRPC of Size 12.7 mm	15	16	1	0	/mech/research/projects/15/			0				0	0							Testing of LRPC of Size 12.7 mm	2012-01-01	2012-01-01	0.1203	Tulsyan Trading Co. Pvt. Ltd		0	Dr. K. S. R. K. Murthy
933	933	0001000100030003000H	5	0	Design and Fabrication of a Pedal Operated Biomass Briquetting Machine 	Design and Fabrication of a Pedal Operated Biomass Briquetting Machine 	16	16	1	0	/mech/research/projects/16/			0				0	0						Co-Investigator(s) : Dr. P. Mahanta, DKS	Design and Fabrication of a Pedal Operated Biomass Briquetting Machine 	2012-01-01	2012-01-01	0.57	WWF		0	Dr. U. K. Saha
934	934	0001000100030003000I	5	0	Vetting of a Feasibility Report on Setting-up of Cold Storage Chain 	Vetting of a Feasibility Report on Setting-up of Cold Storage Chain 	17	16	1	0	/mech/research/projects/17/			0				0	0						Co-Investigator(s) : Dr. U. K. Saha, DKS	Vetting of a Feasibility Report on Setting-up of Cold Storage Chain 	2011-01-01	2011-01-01	0.4	NERAMAC		0	Dr. S. K. Kakoty
935	935	0001000100030003000J	5	0	Structural Analysis of Ships (SRAS) (Consultancy)	Structural Analysis of Ships (SRAS) (Consultancy)	18	16	1	0	/mech/research/projects/18/			0				0	0						Co-Investigator(s) : Dr. P. Biswas 	Structural Analysis of Ships (SRAS) (Consultancy)	2011-01-01	2012-01-01	8.824	GRSE Kolkata		0	Dr. N.R Mandal
936	936	0001000100030003000K	5	0	Time and motion study for unloading of FCI rakes at Changsari	Time and motion study for unloading of FCI rakes at Changsari	19	16	1	0	/mech/research/projects/19/			0				0	0							Time and motion study for unloading of FCI rakes at Changsari	2010-01-01	2011-01-01	0.6	M/s Saikia Trade & Transport Co. Guwahati		0	Dr. U. S. Dixit
937	937	0001000100030003000L	5	0	Consultancy and Technical Design of Tapered Roller Bearings	Consultancy and Technical Design of Tapered Roller Bearings	20	16	1	0	/mech/research/projects/20/			0				0	0							Consultancy and Technical Design of Tapered Roller Bearings	2010-01-01	2012-01-01	14.1	DRDO		0	Dr. R. Tiwari
938	938	0001000100030003000M	5	0	Pressure tube correlations development	Pressure tube correlations development	21	16	1	0	/mech/research/projects/21/			0				0	0							Pressure tube correlations development	2010-01-01	2014-01-01	68	BARC		0	Dr. P. S. Robi
939	939	0001000100030003000N	5	0	Transient Analysis of Steam Generator Model  	Transient Analysis of Steam Generator Model  	22	16	1	0	/mech/research/projects/22/			0				0	0							Transient Analysis of Steam Generator Model  	2009-01-01	2009-01-01	0.6	Walchandnagar Industries Ltd., Pune 		0	Dr. M. Pandey
940	940	0001000100030003000O	5	0	Establishing an Institute of Excellence (IOE) for Advanced Studies, Training and Research in Mechanical Engineering	Establishing an Institute of Excellence (IOE) for Advanced Studies, Training and Research in Mechanical Engineering	23	16	1	0	/mech/research/projects/23/			0				0	0						Co-Investigator(s) : Dr. A. K. Dass	Establishing an Institute of Excellence (IOE) for Advanced Studies, Training and Research in Mechanical Engineering	2009-01-01	2012-01-01	2.5	AICTE		0	Dr. U. S. Dixit
941	941	0001000100030003000P	5	0	Consultancy on the Investigation of the Vibration Problems of the Conveyor Belt Gallery of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya.	Consultancy on the Investigation of the Vibration Problems of the Conveyor Belt Gallery of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya.	24	16	1	0	/mech/research/projects/24/			0				0	0							Consultancy on the Investigation of the Vibration Problems of the Conveyor Belt Gallery of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya.	2009-01-01	2009-01-01	1.5	Lafarge Umiam Minining Private Limited		0	Dr. R. Tiwari
942	942	0001000100030003000Q	5	0	Consultancy & Technical Investigation of the Vibration Resonance Problems in Conveyor Belt Galleries of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya	Consultancy & Technical Investigation of the Vibration Resonance Problems in Conveyor Belt Galleries of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya	25	16	1	0	/mech/research/projects/25/			0				0	0							Consultancy & Technical Investigation of the Vibration Resonance Problems in Conveyor Belt Galleries of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya	2009-01-01	2009-01-01	2.42	Lafarge Umiam Minining Private Limited		0	Dr. R. Tiwari
943	943	0001000100030003000R	5	0	FEA for feasibility studies on electromagnetic welding of Aluminum to Steel Tubes 	FEA for feasibility studies on electromagnetic welding of Aluminum to Steel Tubes 	26	16	1	0	/mech/research/projects/26/			0				0	0						Co-Investigator(s) : Dr. S. D. Kore	FEA for feasibility studies on electromagnetic welding of Aluminum to Steel Tubes 	2008-01-01	2008-01-01	1	Tube Investment of India Ltd		0	Dr. P. P. Date, IIT Bombay
944	944	0001000100030003000S	5	0	A Preliminary Project Report on Generation of Electrical Power from Small Quantities of Gas Available in Isolated Pockets of OIL India?s Oil Fields 	A Preliminary Project Report on Generation of Electrical Power from Small Quantities of Gas Available in Isolated Pockets of OIL India?s Oil Fields 	27	16	1	0	/mech/research/projects/27/			0				0	0						Co-Investigator(s) : AKG, PM, SSV, UKS, AV	A Preliminary Project Report on Generation of Electrical Power from Small Quantities of Gas Available in Isolated Pockets of OIL India?s Oil Fields 	2008-01-01	2008-01-01	2	OIL-Duliajan 		0	RU
945	945	0001000100030003000T	5	0	Evaluation of tensile properties of Zircaloy-4	Evaluation of tensile properties of Zircaloy-4	28	16	1	0	/mech/research/projects/28/			0				0	0						Co-Investigator(s) : Dr. U. S. Dixit	Evaluation of tensile properties of Zircaloy-4	2008-01-01	2011-01-01	11	AERB		0	Dr. R. G. Narayanan
946	946	0001000100030003000U	5	0	Metallurgical analysis of VDU heater tube samples	Metallurgical analysis of VDU heater tube samples	29	16	1	0	/mech/research/projects/29/			0				0	0							Metallurgical analysis of VDU heater tube samples	2008-01-01	2008-01-01	0.43	NRL		0	Dr. P. S. Robi
947	947	0001000100030003000V	5	0	Technical Assessment of the Wind Turbine-cum-Water Pump System Developed by M. Hussain 	Technical Assessment of the Wind Turbine-cum-Water Pump System Developed by M. Hussain 	30	16	1	0	/mech/research/projects/30/			0				0	0						Co-Investigator(s) : Dr. S. K. Dwivedy, Dr. P. Mahanta, Dr. P. Kumari	Technical Assessment of the Wind Turbine-cum-Water Pump System Developed by M. Hussain 	2007-01-01	2007-01-01	0.3	GIAN-NE 		0	Dr. U. K. Saha
948	948	0001000100030003000W	5	0	Development of an Energy Efficient Machine for Arecanaut Leaf Plate Manufacturing	Development of an Energy Efficient Machine for Arecanaut Leaf Plate Manufacturing	31	16	1	0	/mech/research/projects/31/			0				0	0						Co-Investigator(s) : Dr. U. S. Dixit, Dr. U. K. Saha, Dr. P. Kumari	Development of an Energy Efficient Machine for Arecanaut Leaf Plate Manufacturing	2007-01-01	2007-01-01	2.5	Dhriti		0	Dr. P. Mahanta
949	949	0001000100030003000X	5	0	Consultancy and Technical Design of the Angular Contact (Split type) Ball Bearings for High-Speed Applications	Consultancy and Technical Design of the Angular Contact (Split type) Ball Bearings for High-Speed Applications	32	16	1	0	/mech/research/projects/32/			0				0	0							Consultancy and Technical Design of the Angular Contact (Split type) Ball Bearings for High-Speed Applications	2007-01-01	2008-01-01	9.73	DRDO		0	Dr. R. Tiwari
950	950	0001000100030003000Y	5	0	Consultancy on the Investigation of the Vibration Problems of the Primary Limestone Crusher Unit of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya	Consultancy on the Investigation of the Vibration Problems of the Primary Limestone Crusher Unit of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya	33	16	1	0	/mech/research/projects/33/			0				0	0						Co-Investigator(s) : Dr. S. K. Dwivedy	Consultancy on the Investigation of the Vibration Problems of the Primary Limestone Crusher Unit of the M/S. Lafarge Umiam Minining Private Limited, Shella, Meghalaya	2007-01-01	2007-01-01	2.87	Lafarge Umiam Minining Private Limited, Shella, Meghalaya		0	Dr. R. Tiwari
951	951	0001000100030003000Z	5	0	Design and Development of First Generation Tapered Roller Bearings	Design and Development of First Generation Tapered Roller Bearings	34	16	1	0	/mech/research/projects/34/			0				0	0							Design and Development of First Generation Tapered Roller Bearings	2006-01-01	2007-01-01	7.55	Tata Bearings		0	Dr. R. Tiwari
952	952	00010001000300030010	5	0	Advice for dispersed flow simulation using	Advice for dispersed flow simulation using	35	16	1	0	/mech/research/projects/35/			0				0	0						Co-Investigator(s) : Dr. A. K. Dass	Advice for dispersed flow simulation using	2005-01-01	2005-01-01	0.7	Quantum Age Tech Solutions Pvt. Ltd., Vadodara		0	Dr. M. Pandey
953	953	00010001000300030011	5	0	Development of an energy efficient machine for Arecanut leaf plate manufacturing 	Development of an energy efficient machine for Arecanut leaf plate manufacturing 	36	16	1	0	/mech/research/projects/36/			0				0	0						Co-Investigator(s) : Dr. P. Mahanta, Dr. U. K. Saha	Development of an energy efficient machine for Arecanut leaf plate manufacturing 	2005-01-01	2006-01-01	2.50399	Dhriiti-The courage within, New Delhi		0	Dr. U. S. Dixit
954	954	00010001000300030012	5	0	Checking & Rectification of Dynamic Imbalance of the Rotor Part of 22 kW Motor of Indane Bottling Plant (Indian Oil Corporation Limited, Assam Oil Division), North Guwahati, Guwahati	Checking & Rectification of Dynamic Imbalance of the Rotor Part of 22 kW Motor of Indane Bottling Plant (Indian Oil Corporation Limited, Assam Oil Division), North Guwahati, Guwahati	37	16	1	0	/mech/research/projects/37/			0				0	0						Co-Investigator(s) : Dr. S. K. Dwivedy	Checking & Rectification of Dynamic Imbalance of the Rotor Part of 22 kW Motor of Indane Bottling Plant (Indian Oil Corporation Limited, Assam Oil Division), North Guwahati, Guwahati	2004-01-01	2005-01-01	0.05	Indian Oil Corporation		0	Dr. R. Tiwari
955	955	00010001000300030013	5	0	Consultancy and Technical Design of the Deep Groove Ball and Cylindrical Roller Bearings for high-speed applications.	Consultancy and Technical Design of the Deep Groove Ball and Cylindrical Roller Bearings for high-speed applications.	38	16	1	0	/mech/research/projects/38/			0				0	0							Consultancy and Technical Design of the Deep Groove Ball and Cylindrical Roller Bearings for high-speed applications.	2004-01-01	2005-01-01	8.74	DRDO		0	Dr. R. Tiwari
956	956	00010001000300030014	5	0	Experimental Estimation of Dynamic Coefficients of Annular Seals for Turbopumps	Experimental Estimation of Dynamic Coefficients of Annular Seals for Turbopumps	39	16	1	0	/mech/research/projects/39/			0				0	0							Experimental Estimation of Dynamic Coefficients of Annular Seals for Turbopumps	2004-01-01	2007-01-01	3.75	LPSC, ISRO		0	Dr. R. Tiwari
957	957	00010001000300030015	5	0	Performance Testing of 5 HP Diesel Engine Driven Centrifugal Pumpsets 	Performance Testing of 5 HP Diesel Engine Driven Centrifugal Pumpsets 	40	16	1	0	/mech/research/projects/40/			0				0	0						Co-Investigator(s) : Dr. A. K. Dass, Dr. U. K. Saha	Performance Testing of 5 HP Diesel Engine Driven Centrifugal Pumpsets 	2003-01-01	2003-01-01	0.3	Kirloskar		0	Dr. P. Mahanta
958	958	00010001000300030016	5	0	Design of five-speed automated manual transmission for a mid sized car	Design of five-speed automated manual transmission for a mid sized car	41	16	1	0	/mech/research/projects/41/			0				0	0						Co-Investigator(s) : Dr. U. S. Dixit, Dr. A. K. Dass	Design of five-speed automated manual transmission for a mid sized car	2003-01-01	2005-01-01	7	MHRD, New Delhi		0	Dr. S. K. Kakoty
959	959	00010001000300030017	5	0	Up-gradation of Brass metal industry cluster at Hajo	Up-gradation of Brass metal industry cluster at Hajo	42	16	1	0	/mech/research/projects/42/			0				0	0							Up-gradation of Brass metal industry cluster at Hajo	2003-01-01	2005-01-01	4.77	SBI, Guwahati		0	Dr. P. S. Robi
960	960	00010001000300030018	5	0	Design of Mechatronic wheelchair with modular features	Design of Mechatronic wheelchair with modular features	43	16	1	0	/mech/research/projects/43/			0				0	0						Co-Investigator(s) : Dr. S. K. Kakoty	Design of Mechatronic wheelchair with modular features	2002-01-01	2003-01-01	4.25	Ministry of Social Justice and Empowerment 		0	Dr. U. S. Dixit
961	961	00010001000300030019	5	0	Redesign of Mobile Road Maintenance System 	Redesign of Mobile Road Maintenance System 	44	16	1	0	/mech/research/projects/44/			0				0	0						Co-Investigator(s) : Dr. U. S. Dixit	Redesign of Mobile Road Maintenance System 	2002-01-01	2000-01-01	6.6	Border Roads Organization		0	RKR
962	962	0001000100030003001A	5	0	Development of an adaptive P-refinement scheme for Finite Element Analysis	Development of an adaptive P-refinement scheme for Finite Element Analysis	45	16	1	0	/mech/research/projects/45/			0				0	0						Co-Investigator(s) : Dr. P. Mahanta, Dr. P. Kumari	Development of an adaptive P-refinement scheme for Finite Element Analysis	2001-01-01	2003-01-01	8.282	ADA, Bangalore		0	Dr. U. S. Dixit, Dr. S. K. Dwivedy
963	963	0001000100030003001B	5	0	Prediction of job quality and tool-condition in turning process by measurement of cutting forces and vibrations	Prediction of job quality and tool-condition in turning process by measurement of cutting forces and vibrations	46	16	1	0	/mech/research/projects/46/			0				0	0						Co-Investigator(s) : ADS	Prediction of job quality and tool-condition in turning process by measurement of cutting forces and vibrations	2000-01-01	2000-01-01	12	DST		0	Dr. U. S. Dixit
964	964	0001000100030003001C	5	0	Development of an Advanced Mechatronics Laboratory	Development of an Advanced Mechatronics Laboratory	47	16	1	0	/mech/research/projects/47/			0				0	0						Co-Investigator(s) : AKG, Dr. U. S. Dixit	Development of an Advanced Mechatronics Laboratory	1999-01-01	2001-01-01	7	MHRD		0	ADS
965	965	0001000100030003001D	5	0	Finite element analysis of components of bubbling fluidized bed boiler using ANSYS	Finite element analysis of components of bubbling fluidized bed boiler using ANSYS	48	16	1	0	/mech/research/projects/48/			0				0	0							Finite element analysis of components of bubbling fluidized bed boiler using ANSYS	1997-01-01	1997-01-01	1	L&T (in-house)		0	Dr. M. Pandey
966	966	0001000100030003001E	5	0	Noise abatement in mechanical drilling rig of Oil India Ltd, Duliajan: 	Noise abatement in mechanical drilling rig of Oil India Ltd, Duliajan: 	49	16	1	0	/mech/research/projects/49/			0				0	0							Noise abatement in mechanical drilling rig of Oil India Ltd, Duliajan: 	2000-01-01	2005-01-01	1.6	Oil India Ltd		0	Dr. S. K. Kakoty
967	967	0001000100030003001F	5	0	Verification of Air-Conditioning?? load, Design and Selection of HVAC Equipments	Verification of Air-Conditioning?? load, Design and Selection of HVAC Equipments	50	16	1	0	/mech/research/projects/50/			0				0	0							Verification of Air-Conditioning?? load, Design and Selection of HVAC Equipments	2000-01-01	2000-01-01	1.21	M/s. CADMETRIC Consulting		0	Dr. P. Muthukumar
968	968	0001000100030003001G	5	0	Confirmation Of Nucleation Site Formation in the Commercial Refrigerators (Phase -1: Development of conceptual design)	Confirmation Of Nucleation Site Formation in the Commercial Refrigerators (Phase -1: Development of conceptual design)	51	16	1	0	/mech/research/projects/51/			0				0	0						Co-Investigator(s) : Dr. P. Mahanta	Confirmation Of Nucleation Site Formation in the Commercial Refrigerators (Phase -1: Development of conceptual design)	2000-01-01	2000-01-01	1.32	Robert Bosch Engineering and Business Sol. Ltd., Bangalore -5		0	Dr. P. Muthukumar
969	969	0001000100030003001H	5	0	Technology Survey on Thermo Acoustic, Magnetic, Absorption and Sterling Refrigeration Technologies.	Technology Survey on Thermo Acoustic, Magnetic, Absorption and Sterling Refrigeration Technologies.	52	16	1	0	/mech/research/projects/52/			0				0	0							Technology Survey on Thermo Acoustic, Magnetic, Absorption and Sterling Refrigeration Technologies.	2000-01-01	2000-01-01	4.0834	Robert Bosch Engineering and Business Sol. Ltd., Bangalore -5		0	Dr. P. Muthukumar
970	970	0001000100030003001I	5	0	Thermo-hydrodynamics of evaporating meniscus of conventional fluid and ferrofluids under externally imposed magnetic field inside heated mini-channels	Thermo-hydrodynamics of evaporating meniscus of conventional fluid and ferrofluids under externally imposed magnetic field inside heated mini-channels	53	16	1	0	/mech/research/projects/53/			0				0	0							Thermo-hydrodynamics of evaporating meniscus of conventional fluid and ferrofluids under externally imposed magnetic field inside heated mini-channels	2017-01-01	2020-01-01	44.93	SERB		1	Dr. B Mehta
971	971	0001000100030003001J	5	0	Design and Development of Automated Abrasive Flow Nano-Finishing (A-AFNF) Process for Defence Applications.	Design and Development of Automated Abrasive Flow Nano-Finishing (A-AFNF) Process for Defence Applications.	54	16	1	0	/mech/research/projects/54/			0				0	0							Design and Development of Automated Abrasive Flow Nano-Finishing (A-AFNF) Process for Defence Applications.	2017-01-01	2020-01-01	78.6	DRDO		1	Dr. M. Ravi Sankar
972	972	0001000100030003001K	5	0	Analytical solution for boundary layer stresses in piezoelectric plates with longitudinally functionally graded materials	Analytical solution for boundary layer stresses in piezoelectric plates with longitudinally functionally graded materials	55	16	1	0	/mech/research/projects/55/			0				0	0							Analytical solution for boundary layer stresses in piezoelectric plates with longitudinally functionally graded materials	2017-01-01	2020-01-01	23.96	DST		1	Dr. P. Kumari
973	973	0001000100030003001L	5	0	Gait analysis based patient specific prosthetic polycentric knee joint and socket for trans-femoral amputees to improve their walking pattern	Gait analysis based patient specific prosthetic polycentric knee joint and socket for trans-femoral amputees to improve their walking pattern	56	16	1	0	/mech/research/projects/56/			0				0	0							Gait analysis based patient specific prosthetic polycentric knee joint and socket for trans-femoral amputees to improve their walking pattern	2017-01-01	2020-01-01	22	PRISM, DSIR		1	Dr. S. Kanagaraj
974	974	0001000100030003001M	5	0	Preservation of residual hearing by localized delivery of nanoceria based solid solution and composite as an antioxidant in cochlear implants	Preservation of residual hearing by localized delivery of nanoceria based solid solution and composite as an antioxidant in cochlear implants	57	16	1	0	/mech/research/projects/57/			0				0	0							Preservation of residual hearing by localized delivery of nanoceria based solid solution and composite as an antioxidant in cochlear implants	2017-01-01	2020-01-01	132.37	Department of Biotechnology		1	Dr. S. Kanagaraj
975	975	0001000100030003001N	5	0	Development of High Temperature Thermal Energy Storage System for Solar Thermal Power Plant	Development of High Temperature Thermal Energy Storage System for Solar Thermal Power Plant	58	16	1	0	/mech/research/projects/58/			0				0	0							Development of High Temperature Thermal Energy Storage System for Solar Thermal Power Plant	2017-01-01	2020-01-01	159	Department of Science and Technology		1	Dr. P. Muthukumar
976	976	0001000100030003001O	5	0	Reversible Alkali Metal Based Hydrides for High Temperature Thermal Energy Storage	Reversible Alkali Metal Based Hydrides for High Temperature Thermal Energy Storage	59	16	1	0	/mech/research/projects/59/			0				0	0							Reversible Alkali Metal Based Hydrides for High Temperature Thermal Energy Storage	2017-01-01	2020-01-01	76.5	Department of Science and Technology		1	Dr. P. Muthukumar
977	977	0001000100030003001P	5	0	Design, development and demonstration of indigenous hydrogen storage and fuel cell system for mobile and stationary applications of 5 kW capacity.	Design, development and demonstration of indigenous hydrogen storage and fuel cell system for mobile and stationary applications of 5 kW capacity.	60	16	1	0	/mech/research/projects/60/			0				0	0							Design, development and demonstration of indigenous hydrogen storage and fuel cell system for mobile and stationary applications of 5 kW capacity.	2017-01-01	2020-01-01	48.5	IMPRINT - MHRD		1	Dr. P. Muthukumar
978	978	0001000100030003001Q	5	0	Design and development of energy efficient and environment friendly LPG and Kerosene cooking stoves with Porous Radiant Burners for household and large-scale cooking applications.	Design and development of energy efficient and environment friendly LPG and Kerosene cooking stoves with Porous Radiant Burners for household and large-scale cooking applications.	61	16	1	0	/mech/research/projects/61/			0				0	0							Design and development of energy efficient and environment friendly LPG and Kerosene cooking stoves with Porous Radiant Burners for household and large-scale cooking applications.	2017-01-01	2020-01-01	159.6	IMPRINT - MHRD		1	Dr. P. Muthukumar
979	979	0001000100030003001R	5	0	Forming of automotive materials at elevated temperature and selection of lubricants for sustainable manufacturing	Forming of automotive materials at elevated temperature and selection of lubricants for sustainable manufacturing	62	16	1	0	/mech/research/projects/62/			0				0	0							Forming of automotive materials at elevated temperature and selection of lubricants for sustainable manufacturing	2017-01-01	2020-01-01	11.11	DST, SERB; Indo-sri Lanka collaborative research project		1	Dr. R. GANESH NARAYANAN
980	980	0001000100030003001S	5	0	Manufacturing Solutions for the Preparation of Siddha Medicines (Traditional Medicines Originated from Tamilnadu)	Manufacturing Solutions for the Preparation of Siddha Medicines (Traditional Medicines Originated from Tamilnadu)	63	16	1	0	/mech/research/projects/63/			0				0	0							Manufacturing Solutions for the Preparation of Siddha Medicines (Traditional Medicines Originated from Tamilnadu)	2017-01-01	2020-01-01	57.98	IMPRINT-MHRD		1	Dr. S Senthilvelan
981	981	0001000100030003001T	5	0	Probabilistic and seismic hazard assessment (PSHA) and fragility evaluation of SSC?s	Probabilistic and seismic hazard assessment (PSHA) and fragility evaluation of SSC?s	64	16	1	0	/mech/research/projects/64/			0				0	0							Probabilistic and seismic hazard assessment (PSHA) and fragility evaluation of SSC?s	2017-01-01	2020-01-01	76	NPCIL		1	Prof. S. K. Dwivedy
982	982	0001000100030003001U	5	0	Investigations on hydrodynamics, flow regimes and heat transfer characteristics of flow boiling in mini- and microchannels	Investigations on hydrodynamics, flow regimes and heat transfer characteristics of flow boiling in mini- and microchannels	65	16	1	0	/mech/research/projects/65/			0				0	0							Investigations on hydrodynamics, flow regimes and heat transfer characteristics of flow boiling in mini- and microchannels	2017-01-01	2020-01-01	58.95	SERB (DST)		1	Dr. M. Pandey
