"Authors","Title","Year","Journal","Volume","Issue","Page_Start","Page_End","Citations"
"S.C. Mishra and M. Prasad","Radiative wall heat fluxes through gray non-isothermal absorbing-emitting media between 1-D concentric cylinders due to various phenomena in Monte Carlo simulation","1999","J. of the Institution of Engineers (India), Mechanical Engineering Division","80","-","121","124","0"
"P.K. Maji and G. Biswas","Analysis of Flow in the Plate Spiral of a Reaction Turbine Using a Streamline Upwind Petrov-Galerkin Method","2000","International Journal for Numerical Methods in Fluids","34","-","113","144","0"
"U.S. Dixit and P.M. Dixit","Application of fuzzy set theory in scheduling of tandem rolling mills","2000","ASME J. Manufact. Sci. Engng","122","-","494","500","10"
"K. Kalita, A. Dewan and A.K. Dass","Computation of the Turbulent Plane Plume Using    Model","2000","Applied Mathematical Modelling","24","-","815","826","8"
"S. K. Kakoty and B. C. Majumdar","Effect of Fluid Inertia on Dynamic Coefficients and Stability of Journal Bearings","2000","Journal of Engineering Tribology","214","3","229","242","6"
"S. K. Kakoty and B. C. Majumdar","Effect of Fluid Inertia on Stability of Oil Journal Bearings","2000","Journal of Tribology","122","4","741","745","8"
"A.K. Saha, K. Muralidhar,and G. Biswas","Experimental Study of Flow Past a Square Cylinder at high Reynolds Numbers","2000","Experiments in Fluids","29","-","553","563","24"
"D. Chakraborty and B. Pradhan","Fracture Behaviour of FRP Composite Laminates with an Embedded Elliptical Delamination at the Interface","2000","Journal Reinforced Plastics and Composites","19","3","1004","1023","13"
"G.Biswas and P. Deb","Heat Transfer and Flow Structure in a Turbulent Channel Flow with Embedded Longitudinal Vortices","2000","Journal of Energy Heat and Mass Transfer","22","-","141","148","0"
"D. Chakraborty and B. Pradhan","Influence of Interfacial Resin Layer on Delamination Initiation in Broken Ply Composite Laminates","2000","Journal of Adhesion Sc. and Tech","14","12","1499","1513","8"
"R. Tiwari","On-Line Identification and Estimation of Non-Linear Stiffness Parameters of Bearings","2000","Journal of Sound and Vibration","234","5","906","910","0"
"A.K. Saha, K. Muralidhar,and G. Biswas","Transition and Chaos in Two-Dimensional Flow Past a Square Cylinder","2000","Journal of Engineering Mechanics (ASCE)","126","-","523","532","28"
"A.K. Saha, K. Muralidhar,and G. Biswas","Vortex Structures and Kinetic Energy Budget in Two-Dimensional flow Past a Square Cylinder","2000","Computers and Fluids","29","-","669","694","19"
"R. Vasudevan, V. Eswaran and G. Biswas","Winglet Type Vortex Generators for Plate-Fin Heat Exchangers Using Triangular Fins","2000","Numerical Heat Transfer, Part A","38","-","533","555","29"
"K.S.R.K. Murthy and M Mukhopadhyay","Adaptive finite element analysis of mixed-mode fracture problems containing multiple crack-tips with an automatic mesh generator","2001","International Journal of Fracture","108","-","251","274","4"
"J.C.Kalita, D.C.Dalal and A.K.Dass","Fully compact Higher Order Computation of Steady-State Natural Convection in a Square Cavity","2001","Physical Review E","64","-","1","13","24"
"P. Sandilya, D.P. Rao, A. Sharma and G. Biswas","Gas-Phase Mass Transfer in a Centrifugal Contractor","2001","Eng. Chem. Res.","40","-","384","392","3"
"T. Cziesla, G. Biswas, H. Chattopadhyay and N.K. Mitra","Large-Eddy Simulation of Flow and Heat Transfer in an Impinging Slot Jet","2001","Int. J. Heat and Fluid Flow","22","-","500","508","58"
"Kanagaraj S, Pattanayak S","Measurement of thermal contraction of hybrid composites down to 20K","2001","Indian Journal of Cryogenics ","26","3","79","84","0"
"P. Mahanta and S.C. Mishra","Modified collapsed dimension method for radiative heat transfer problems","2001","Journal of Thermophysics and Heat Transfer","15","2","246","248","1"
"S. K. Dwivedy and R. C. Kar","Non-linear dynamics of a slender beam carrying a lumped mass under principal parametric resonances with three-mode interactions","2001","International Journal of Nonlinear Mechanics","36","6","927","945","15"
"P. Sandilya, G. Biswas, D.P. Rao and A. Sharma","Numerical Simulation of the Gas Flow and Mass Transfer Between Two Coaxially Rotating Disks","2001","Numerical Heat Transfer, Part A","39","-","285","305","7"
"S. K. Dwivedy and R. C. Kar","Simultaneous combination, principal parametric and internal resonances in a slender beam with a lumped mass: three mode    interactions","2001","Journal of Sound and Vibration ","242","1","27","46","11"
"Kanagaraj S, Pattanayak S","Thermal conductivity of carbon fibre reinforced composites","2001","Indian Journal of Cryogenics","26","2","65","69","0"
"Manik Pradhan, Kanagaraj S, Pattanayak S","Thermal diffusivity of woven fabric glass fibre composites at cryogenic temperature","2001","Indian Journal of Cryogenics ","26","3","73","78","0"
"P. Talukdar and  S.C. Mishra","Transient conduction and radiation heat transfer with heat generation in a participating medium using the collapsed dimension method","2001","Numerical Heat Transfer, Part A","39","1","79","100","23"
"A.K. Saha, G. Biswas, and K. Muralidhar","Two-Dimensional Study of the Turbulent Wake Behind a Square Cylinder Subject to Uniform Shear","2001","Journal of Fluids Engineering (ASME)","123","-","595","603","20"
"K.S.R.K. Murthy and M. Mukhopadhyay","Unification of stress intensity factor (SIF) extraction methods with an h-adaptive finite element scheme","2001","Communications in Numerical Methods in Engineering","17","-","509","520","0"
"J.C. Kalita, D.C. Dalal and A.K. Dass","A class of Higher Order Compact Schemes for the Unsteady 2D Convection-Diffusion Equation with Variable Coefficients","2002","International Journal of numerical Methods in Fluids","38","-","1111","1131","0"
"U.S. Dixit, P.S. Robi, D.K. Sharma","A systematic Procedure for the Design of a Cold Rolling Mill","2002","J. of Material processing Technology","121","1","69","76","1"
"P. Talukdar and S.C. Mishra","Analysis of conduction-radiation problem in absorbing, emitting and anisotropically scattering media using the collapsed dimension method","2002","International Journal of Heat and Mass Transfer","45","10","2159","2168","25"
"S. K. Kakoty and V. K. Roy","Bulk Reaction Modeling of Lined Ducts With And Without Mean Flow","2002","Journal of the Acoustical Society of America","112","1","75","83","8"
"P. Mahanta, S.C. Mishra","Collapsed dimension method applied to combined radiative and conductive heat transfer in cylindrical enclosures with participating medium","2002","Proceedings of the National Heat Transfer Conference","2","-","1719","1727","0"
"S. K. Kakoty and B. C. Majumdar","Effect of Fluid Inertia on Stability of Flexibly Supported Oil Journal Bearings: A non-Linear Transient Analysis","2002","Tribology Transactions","45","2","253","257","0"
"D. Chakraborty and B. Pradhan","Fracture Behaviour of FRP Composite Laminates with Two Interacting Embedded Delaminations at the Interface","2002","Journal Reinforced Plastics and Composites","21","-","681","694","0"
"H. Chattopadhyay, G. Biswas, and N.K. Mitra","Heat Transfer from a Moving Surface due to Impinging Slot Jets","2002","Journal of Heat Transfer (ASME)","124","-","433","440","3"
"R. Tiwari, A. W. Lees and M. I. Friswell","Identification of Speed-Dependent Bearing Parameters","2002","Journal of Sound and Vibration","234","5","906","910","41"
"V. Prabhakar, G. Biswas, V. Eswaran","Numerical Prediction of Heat Transfer with a Built-in Oval Tube and Two Different Shaped Vortex Generators","2002","Numerical Heat Transfer, Part A","41","-","307","329","28"
"N. K. Chandiramani, L. I. Librescu, and C. D. Shete","On the Free Vibration of Rotating, Composite Beams Using a Higher-Order Shear Formulation","2002","Aerospace Science and Technology","6","8","545","561","17"
"Muthukumar P, Maiya MP, Murthy SS","Parametric studies on a metal hydride based single stage hydrogen compressor","2002","Int. J. Hydrogen Energy","27","10","1083","1092","22"
"K. Kalita, A. Dewan and A.K. Dass","Prediction of Turbulent Plane Jet in Cross-flow","2002","Numerical Heat Transfer A","41","-","101","111","0"
"S.C. Mishra and M. Prasad","Radiative heat transfer in absorbing-emitting-scattering gray media inside 1-D gray Cartesian enclosure using the collapsed dimension method","2002","International Journal of Heat and Mass Transfer","45","3","697","700","17"
"P. Talukdar and S.C. Mishra","Transient conduction and radiation heat transfer with Variable thermal conductivity","2002","Numerical Heat Transfer, Part A","41","8","851","867","16"
"U. S. Dixit and S. Chandra","A neural network based methodology for the prediction of roll force and roll torque in fuzzy form for cold flat rolling process","2003","Int. J. Adv. Manuf. Tech.","22","11-12.","883","889","15"
"S. Tiwari, P.L.N. Prasad and G. Biswas","A Numerical Study of Heat Transfer in Fin-Tube Heat Exchangers using Winglet-Type Vortex Generators in Common-Flow-Down Configuration","2003","Progress in Computational Fluid Dynamics","3","-","32","41","13"
"S. Kumar, K. Srinivasan and D. Chakraborty","Acoustic Emission Characterization of Metallic Specimen for crack propagation","2003","Materials and Design","24","8","471","481","0"
"N. Sahoo, D.R. Mahapatra, G. Jagadeesh, S. Gopalakrishnan and K.P.J. Reddy","An accelerometer balance system for measurement of aerodynamic force coefficients over blunt bodies in a hypersonic shock tunnel","2003","Measurement Science and Technology","14","-","260","272","21"
"P.S. Robi and U.S. Dixit","Application of Neural Network in Generating Processing Maps for Hot Working","2003","J.  of Materials processing Technology","142","1","289","294","45"
"P. Mahanta and S.C. Mishra","Collapsed dimension method applied to radiative transfer problems in complex enclosures with participating medium","2003","Numerical Heat Transfer, Part B","42","2","367","388","7"
"S.C. Mishra, P. Talukdar, D. Trimis and F. Durst","Computational efficiency improvements of the radiative transfer problems with or without conduction – a comparison of the collapsed dimension method and the discrete transfer method","2003","International Journal of Heat and Mass Transfer","46","16","3083","3095","43"
"P. Rath, S.C. Mishra, P. Mahanta,  U.K. Saha, K. Mitra","Discrete transfer method applied to transient radiative transfer problems in participating medium","2003","Numerical Heat Transfer"," Part A: Applications","44","2","183","197"
"V. Kumar, G. Biswas, G. Brenner and F. Durst","Effect of Thermocapillary Convection in an Industrial Czochralski Crucible: Numerical Simulation","2003","International Journal of Heat and Mass Transfer","46","-","1641","1652","17"
"S. Tiwari, D. Maurya, G. Biswas and V. Eswaran","Heat Transfer Enhancement in Crossflow Heat Exchangers using Oval Tubes and Multiple Delta Winglets","2003","International Journal of Heat and Mass Transfer","46","-","2841","2856","0"
"N. Dharmaraju, R. Tiwari and S. Talukdar","Identification of an Open Crack Model in a Beam Based on Force-Response Measurements.","2003","Computers & Structures","82","2-3.","167","179","23"
"A.K. Saha, K. Muralidhar and G. Biswas","Investigation of Two-and Three Dimensional Models of Transitional Flow Past a Square Cylinder","2003","Journal of Engineering Mechanics (ASCE)","129","-","1320","1329","3"
"A.K. Pattanaik, P.S. Robi, and A. Srinivasan","Microhardness of Pb modified Chalcogenide Glasses","2003","J. Optoelectronics and Advanced Materails","5","1","35",,"14"
"B. Indrajit Sharma, P. S. Robi and A. Srinivasan","Microhardness of Ternary Vanadium Pentoxide Glasses","2003","Materials Letters ","57","22","3504","3507","4"
"S. K. Dwivedy and R. C. Kar","Nonlinear dynamics of a cantilever beam carrying an attached mass with 1:3:9 internal resonances","2003","Nonlinear Dynamics","31","1","49","73","0"
"S. K. Dwivedy and R. C. Kar","Nonlinear response of a parametrically excited slender beam carrying a lumped mass with 1:3:9 internal resonance","2003","Advances in Vibration Engineering","2","3","1","9","0"
"S. Tiwari, G. Biswas, P.L.N. Prasad and S. Basu","Numerical Prediction of Flow and Heat Transfer in a Rectangular Channel with a Built-in Circular Tube","2003","Journal of Heat Transfer (ASME)","125","-","413","421","22"
"V. Prabhakar, G. Biswas, V. Eswaran","Numerical Prediction of Heat Transfer in a Channel with a Built-in Oval Tube and Various Arrangement of the Vortex Generators","2003","Numerical Heat Transfer, Part A","44","-","315","330","17"
"T. Cziesla, H. Chattopadhyay, N.K. Mitra and G. Biswas","Prediction of Heat Transfer from Impinging Knife-Jets Using a Dynamic Subgrid Stress Model","2003","Progress in Computational Fluid Dynamics","3","-","22","31","0"
"K. A. Risbood, U.S. Dixit and A. D. Sahasrabudhe","Prediction of surface roughness and dimensional deviation by measuring cutting forces and vibrations in turning process","2003","J. Mater. Process. Tech.","132","-","203","214","105"
"Chakraborty, V. Kumar, S. B. Nair and R. Tiwari","Rolling Element Bearing Design Through Genetic Algorithm.","2003","Engineering Optimization","35","6","649","659","22"
"S. K. Dwivedy and R. C. Kar","Simultaneous combination and 1:3:5 internal resonances in a parametrically excited beam-mass system","2003","International Journal of Nonlinear Mechanics","38","4","585","596","0"
"Kanagaraj S, Pattanayak S","Simultaneous measurements of thermal expansion and thermal conductivity of FRPs by employing a hybrid measuring head on a GM refrigerator","2003","Cryogenics","43","-","451","458","12"
"P. Mahanta and S. C. Mishra","Solution of radiative heat transfer problems in long cylindrical enclosures with participating media","2003","Sadhana","23","2","213","232","0"
"A.K. Saha, G. Biswas and K. Muralidhar","Three-dimensional Study of Flow Past a Square Cylinder at Low Reynolds Numbers","2003","Int. J. Heat and Fluid Flow","24","-","54","66","90"
"P. Talukdar and S.C. Mishra","Transient conduction-radiation interaction in a planar packed bed with variable porosity","2003","Numerical Heat Transfer, Part A","44","3","281","287","4"
"N. K. Chandiramani, C. D. Shete, and L. I. Librescu","Vibration of Higher-Order-Shearable Pretwisted Rotating Composite Blades","2003","International Journal of Mechanical Sciences","45","12","2017","2041","12"
"N. Satyanarayana and R. Tiwari","Whirling of A Simple Rotor With Gyroscopic Effects: A Finite Element Approach Based on Complex Co-ordinates","2003","Advances in Vibration Engineering","2","3","270","279","0"
"A. Jain, G. Biswas, D. Maurya","Winglet Type Vortex Generators with Common-Flow-Up Configuration for Fin-Tube Heat Exchangers","2003","Numerical Heat Transfer, Part-A","43","-","201","219","25"
"S. Chandra and U.S. Dixit","A rigid-plastic finite element analysis of temper rolling process","2004","J. Mater. Process. Tech.","152/1","-","9","16","12"
"B. B. Mahanta, D. Chakraborty and A. Dutta ","Accurate Prediction of Delamination in FRP Composite Laminates Resulting from Transverse Impact","2004","Composite Science and Technology","64","15","2341","2351","9"
"S. Kumar, K. Srinivasan and D. Chakraborty","Acoustic Characterization and Prediction of Surface Roughness","2004","Journal of Materials Processing Technology","57","-","127","130","0"
"J.C. Kalita, A.K. Dass and D.C. Dalal","An HOC Scheme for Steady Convection-Diffusion for Nonuniform Grids Without Transformation","2004","International Journal of numerical Methods in Fluids","44","-","33","53","0"
"M. Kalita and S. K. Kakoty","Analysis of Whirl Speeds for Rotor-Bearing Systems Supported on Fluid Film Bearings","2004","Mechanical Systems and Signal Processing","18","6","1369","1380","13"
"G. Biswas, M. Breuer and F. Durst","Backward-Facing Step Flows for Various Expansion Ratios at Low and Moderate Reynolds Numbers","2004","Journal of Fluids Engineering (ASME)","126","-","362","374","61"
"P. Talukdar, S.C. Mishra, D. Trimis and F. Durst","Combined radiation and convection heat transfer in a porous channel bounded by isothermal parallel plates","2004","International Journal of Heat and Mass Transfer","47","5","1001","1013","14"
"A. Dewan, K. Kalita and A.K. Dass","Comparison of three Buyoancy Extended Version of the   Model in Predicting Turbulent Plane Plume","2004","Applied Mathematical Modelling","28","-","241","254","0"
"S. Senthilvelan and R. Gnanamoorthy","Damage Mechanisms in Injection Molded Unreinforced, Glass and Carbon Reinforced Nylon 66 Spur Gears","2004","Applied Composite Materials","11","1","377","397","18"
"N. Dharmaraju, R. Tiwari and S. Talukdar","Development of a Novel Hybrid Reduction Scheme for Identification of An Open Crack Model in a Beam.","2004","Mechanical Systems and Signal Processing","19","3","633","657","11"
"D. V. Ratna Rao, C. S. Babu and S. V. Prabhu","Effect of turn region treatment on the pressure loss distribution in a smooth square channel with sharp 180º bends","2004","International Journal of Rotating Machinery","10","6","459","468","0"
"P. Mahanta and S.C. Mishra","Exact analysis of radiative transfer problems in long cylindrical enclosures with participating media","2004","J. of the Institution of Engineers (India), Mechanical Engineering Division","84","-","55","65","0"
"P. Mahanta, S.C. Mishra","Exact analysis of radiative transfer problems in long cylindrical enclosures with participating medium","2004","Journal of the Institution of Engineers (India): MechanicalEngineering Division","82","-","55","65","0"
"A.S.Grinspan, U.K.Saha, P. Mahanta","Experimental investigation of twisted bladed savonius wind turbine rotor","2004","International Energy Journal ","5","1","1","9","6"
"P.Mahanta,A.Dewan, U.K. Saha, P.Kalita, , B.K.Bhatt, D.R. Das","Field studies of biogas digester with partitioned walls","2004","International Energy Journal ","5","2","93","102","0"
"P. Talukdar, S.C. Mishra, D. Trimis and F. Durst","Heat transfer characteristics of a porous radiant burner under the influence of a two-dimensional radiation field","2004","Journal of Quantitative Spectroscopy and Radiant Transfer","84","4","527","537","21"
"J. M. Shi, D. Gerlach, M. Breuer, G. Biswas and F. Durst","Heating Effect on Steady and Unsteady Horizontal Laminar Flow of Air Past a Circular Cylinder","2004","Physics of Fluids","16","-","4331","4345","25"
"R. Tiwari, A. W. Lees and M. I. Friswell","Identification of Dynamic Bearing Parameters: A Review.","2004","The Shock & Vibration Digest","36","2","99","124","59"
"Kanagaraj S, Pattanayak S","Measurement of the thermal expansion of metals and FRPs Cryogenics","2004","Cryogenics","43","7","399","424","0"
"A. K. De, K. Muralidhar, V. Eswaran, V. K Wadhawan","Modelling of transport phenomena in a low-pressure CVD reactor","2004","Journal of Crystal Growth","267","3-4.","598","612","3"
"N. K. Chandiramani, L. I. Librescu, V. Saxena, and A. Kumar","Optimal Vibration Control of a Rotating Composite Beam with Distributed Piezoelectric Sensing and Actuation","2004","Smart Materials and Structures","13","2","433","442","11"
"D. Agarwal, S.W.J. Welch, G. Biswas, and F. Durst","Planar Simulation of Bubble Growth in Film Boiling in Near-Critical Water Using a Variant of the VOF Method","2004","Journal of Heat Transfer (ASME)","126","-","329","338","30"
"Anil Bora, P.P. Singha, P.S. Robi and A.Srinivasan","Powder Metallurgy Processing of Ruthenium Aluminium alloys","2004","J. of Materials Processing Technology","153-154","-","952","957","1"
"Piyush Gupta, P.S. Robi, P.P. Singha, and A. Srinivasan","Preparation and Characterization of Ferro-magnetic Shape Memory alloys","2004","J. of Materials Processing Technology ","153-154","-","965","970","0"
"D . V. RatnaRao and S. V. Prabhu","Pressure drop distribution in smooth and rib roughened square channel with sharp 180º bend in the presence of guide vanes","2004","International Journal of Rotating Machinery","10","2","99","114","0"
"B. B. Mahanta, P. Reddy, A. Dutta and D. Chakraborty ","Reliable Computation of Contact Force in FRP Composite Laminates under Transverse Impact","2004","Shock and Vibration","11","-","129","142","1"
"A. Dewan, P. Mahanta ,K.S. Raju, P. Suresh Kumar","Review of passive heat transfer augmentation techniques ","2004",", Part A:Journal of Power and Energy","218","7","509","527","58"
"Kulkarni V. N, Kulkarni P. S., Reddy K. P. J., Saito T. and Takayama K.","Transpiration Cooling Analysis at Hypersonic Mach Numbers Using CFD Tools","2004","Computational Fluid Dynamics Journal","13","2","342","347","0"
"U. K. Saha, P. Mahanta, A. S. Grinspan, P. S. Kumar and P. Goswami","Twisted bamboo bladed rotor for savonius wind turbines","2004","Journal of Solar Energy Society of India","14","2","1","10","0"
"S. Senthilvelan and R. Gnanamoorthy","Wear Characteristics of Injection Molded Unfilled and Glass Filled Nylon 6 Spur Gears","2004","Journal of Engineering Tribology, Proc. of Ins. Mech. E Part J","218","6","495","502","8"
" A. Kohli and U.S. Dixit","A neural network based methodology for prediction of surface roughness in turning process","2005","Int. J. Adv. Manuf. Tech.","25","1-2.","118","129","58"
"R. Tiwari, S. Manikandan, S. K. Dwivedy","A review of the experimental estimation of the rotor-dynamic parameters of seals","2005","Shock and Vibration Digest","37","-","161","284","16"
"M. Pathak, A. Dewan and A.K. Dass","An Assessment of Streamline Curvature Effects on the Mixing Region of a Turbulent Plane Jet in Crossflow","2005","Applied Mathematical Modelling","29","-","711","725","3"
"D.K. Ojha and U.S. Dixit","An economic and reliable tool life estimation procedure for turning","2005","J. Adv. Manuf. Tech.","26","7-8.","726","732","9"
"D.J. Sarma, S.C. Mishra and P. Mahanta","Analysis of collimated radiation using the discrete transfer method","2005","Journal of Quantitative Spectroscopy and Radiative Transfer","96","1","123","135","11"
"S.C. Mishra and A. Lankadasu","Analysis of transient conduction and radiation heat transfer using the lattice Boltzmann method and the discrete transfer method","2005","Numerical Heat Transfer, Part A","47","9","935","954","49"
"S.C. Mishra, A. Lankadasu and K. Beronov","Application of the lattice Boltzmann method for solving the energy equation of a 2-D transient conduction-radiation problem","2005","International Journal of Heat and Mass Transfer","48","-","3648","3659","62"
"D. Chakraborty","Artificial Neural Network based Delamination Prediction in Laminated Composites","2005","Materials and Design","26","1","1","7","30"
"Bisht, H., Gupta, J., Pal, S.K. and Chakraborty, D.","Artificial neural network based prediction of flank wear in turning","2005","Int. J. Materials and Product Technology","22","4","314","328","5"
"P. Sahoo, and A. Banerjee","Asperity interaction in adhesive contact of metallic   rough surfaces","2005","Journal of Physics D: Applied Physics","38","-","4096","4103","14"
"P. Sahoo, and A. Banerjee","Asperity interaction in elastic–plastic contact of rough surfaces in presence of adhesion","2005","Journal of Physics D: Applied Physics","38","-","2841","2847","11"
"Mahanta P, Saha UK, Dewan A, Kalita P, and Buragohain B","Biogas Digester – A Discussion on Factors Affecting Biogas Production and Field Investigation of a Novel Duplex Digester","2005","Journal of Solar Energy Society of India ","15","-","1","12","0"
"P. Mahanta, U.K.Saha, A. Dewan, P. Kalita, B. Buragohain","Biogas digester: A discussion on factors affecting biogas production and field investigation of a novel duplex digester","2005","Solar Energy Society of India Journal","15","2","1","12","0"
"R. Tiwari","Conditioning of Regression Matrices for Simultaneous Estimation of the Residual Unbalance and Bearing Dynamic Parameters","2005","Mechanical Systems and Signal Processing","19","5","1082","1095","5"
"A. Srivastava, A. Agarwal, D. Chakraborty, A.Dutta","Control of Smart Laminated FRP Structures using Artificial Neural Network","2005","Journal of Reinforced Plastics and Composites","24","13","1353","1364","3"
"N. Sahoo, K. Suryavamshi, K. P. J. Reddy and D. J. Mee","Dynamic force balances for short-duration hypersonic testing facilities","2005","Experiments in Fluids","38","-","606","614","13"
"S.C. Mishra, P. Talukdar, D. Trimis and F. Durst","Effect of angular quadrature schemes on the computational efficiency of the discrete transfer method for solving radiative transport problems with participating medium","2005","Numerical Heat Transfer, Part B","46","5","463","478","12"
"R. Tiwari and V. Reddy","Estimation of Bearing Dynamic Coefficients using Impulse Responses","2005","Advances in Vibration Engineering ","4","4","369","378","0"
"Muthukumar P, Maiya MP, Murthy SS","Experiments on a metal hydride based hydrogen compressor","2005","Int. J. Hydrogen Energy","30","8","879","892","15"
"Muthukumar P, Maiya MP, Murthy SS","Experiments on metal hydride based hydrogen storage device","2005","Int. J. Hydrogen Energy","30","15","1569","1581","48"
"N. Sahoo, V. Kulkarni, S. Saravanan, G. Jagadeesh and K.P.J. Reddy","Film cooling effectiveness on a large angle blunt cone flying at hypersonic speed","2005","Physics of Fluids","17","3","1","11","17"
"G. Biswas","Heat Transfer and Fluid Mechanics Related to Turbulent Flow","2005","Annals of the Indian National Academy of Engineering","2","-","19","25","0"
