alt_recipient_text	award_title	conferrer	conferrer_description	award_description	award_type	award_time	link
Amaresh Dalal	Best Oral Presentation Award for the Session (to student Hiranya Deka)	International Conference on Recent Innovations and Developments in Mechanical Engineering	Citation	Deka, H., Biswas, G., and Dalal, A., 2018, “A Coupled Level Set and Volume-of-fluid Method for Modelling Two-phase Flows”, Paper No. IC-RIDME18: 194, International Conference on Recent Innovations and Developments in Mechanical Engineering, National Institute of Technology Meghalaya, Shillong, India, November 8-10, 2018.			
Amaresh Dalal	Best Oral Presentation Award for the Session (to student Subrat Kotoky)	International Conference on Recent Innovations and Developments in Mechanical Engineering	Citation	Kotoky, S., Dalal, A., and Natarajan, G., 2018, “The Role of Particle Diameter on the Fluidization Behavior in a Bubbling Gas-Solid Fluidized Bed”, Paper No. IC-RIDME18: 203, International Conference on Recent Innovations and Developments in Mechanical Engineering, National Institute of Technology Meghalaya, Shillong, India, November 8-10, 2018.			
P MUTHUKUMAR	Best paper award	IISc Bangalore, India		Mrinal Bhowmik, P. Muthukumar, R Anandalakshmi “Numerical Study on Dehumidification Performance of a Cross-Flow Liquid Desiccant Adiabatic Dehumidifier with Various Halide Salt desiccants” 5th International Conference on Computational Methods for Thermal Problems, .”			
M R Sankar	Best poster award (1st)	Research Conclave' 2018, Indian Institute of Technology Guwahati, India		Kishor Kumar Gajrani,Y. Bishal Singha, Mamilla Ravi Sankar, Comparative Tribological Performance of Graphite, CaF2 and MoS2 Coated Mechanical Micro-Textured Cutting Tool Material during Dry Sliding Test.			
M R Sankar	Best poster award (2nd)	Research Conclave' 2018, Indian Institute of Technology Guwahati, India		Rasmi Ranjan Behera, A. Das, D. Pamu, L.M. Pandey, Mamilla Ravi Sankar, Calcium Phosphate Coating on Ti-6Al-4V alloy using RF magnetron Sputtering Process.			
S Senthilvelan	Outstanding Paper Award	FISITA 2018 Word Auotmotive Congress		Aditya Kumar, Karthick Pandia, S Senthilvelan BENDING FATIGUE PERFORMANCE OF INJECTION-MOLDED CARBON NANOTUBE REINFORCED POLYPROPYLENE SPUR GEARS			
Sachin Singh Gautam	2nd Best Presentation Award (to student D. Bora)	2nd International Conference on Structural Integrity and Exhibition 2018	Certificate and Cash prize of 2500 Rs	Ductile fracture in tube impact problem using a Lode angle dependent failure criterion by D. Bora, M. Kumar and Sachin Singh Gautam			
Sachin Singh Gautam	Best Paper Award (to student Vishal Agrawal)	1st International Conference on Future Learning Aspects of Mechanical Engineering (FLAME - 2018), Amity University, Noida,		An isogeometric based study of mortar contact algorithm for frictionless sliding by Vishal Agrawal and Sachin Singh Gautam			
Sanghamitra Das	Best poster award	Recent Innovations and Developments in Mechanical Engineering (IC-RIDME-2018) November 8-10, 2018 at NIT Meghalaya.	Three-Dimensional Numerical Modelling of Temperature Profiles on the Wire Electrode During Wire Electric Discharge Machining Process				
S Kanagaraj	International Travel Award	DST International travel award committee	Certificated and Medal	To attend International Conference on Materials Science and Manufacturing Engineering (MSME 2018), 8-10 Nov, 2018, Novotel Paris Centre Tour Eiffel, Paris, France			
P MUTHUKUMAR	Best paper award for Mr Mrinal Bhowmik	IISC Bangalore, India - THERMACOMP – 2018		Best Paper and Presentation			
P MUTHUKUMAR	International Travel Award for Mr Nithin Narmada	To attend and present a paper at 10th International Conference on Applied Energy (ICAE2018), 22-25 August 2018, Hong Kong.		To attend 10th International Conference on Applied Energy (ICAE2018), 22-25 August 2018, Hong Kong.			
KSRK Murthy	Best Paper Award (to student Sajith S)	3rd International Conference on Design, Analysis, Manufacturing & Simulation (ICDAMS-2018), 6-7 April, Chennai	Certificate				
