page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	document	name	abstract	pub_type	download_link	pub_issue	pub_year	pub_journal	pub_vol	page_start	page_end	citations	alt_people_text
1224	1224	0001000100030001000F	5	0	Multi-objective optimization of ultrasonic-assisted magnetic abrasive finishing process	Multi-objective optimization of ultrasonic-assisted magnetic abrasive finishing process	2019_2_multi-objective-optimization-of-ultrasonic-assisted-magnetic-abrasive-finishing-process	18	1	0	/mech/research/publications/2019_2_multi-objective-optimization-of-ultrasonic-assisted-magnetic-abrasive-finishing-process/			0				0	0						Multi-objective optimization of ultrasonic-assisted magnetic abrasive finishing process		2			2019-01-01	International Journal of Advanced Manufacturing Technology,	https://doi.org/10.1007/s00170-018-3060-0.	1	10	0	A. Misra, P.M. Pandey, U.S. Dixtt, A. Roy and V.V. Silberschmidt
1225	1225	0001000100030001000G	5	0	Influence of Welding Traverse Speed in Self-Reacting Friction Stir Welding of Aluminium alloy AA6061-T6	Influence of Welding Traverse Speed in Self-Reacting Friction Stir Welding of Aluminium alloy AA6061-T6	2018_2_influence-of-welding-traverse-speed-in-self-reacting-friction-stir-welding-of-aluminium-alloy-aa6061-t6	18	1	0	/mech/research/publications/2018_2_influence-of-welding-traverse-speed-in-self-reacting-friction-stir-welding-of-aluminium-alloy-aa6061-t6/			0				0	0						Influence of Welding Traverse Speed in Self-Reacting Friction Stir Welding of Aluminium alloy AA6061-T6		2			2018-01-01	Journal of Ship Production and Design	http://dx.doi.org/10.5957/JSPD.160047			0	Piyush Singh, Pankaj Biswas and Sachin D Kore ,
1226	1226	0001000100030001000H	5	0	An experimental study on surface roughness and frictional property of ultrasonic-vibration-assisted milled surface	An experimental study on surface roughness and frictional property of ultrasonic-vibration-assisted milled surface	2019_2_an-experimental-study-on-surface-roughness-and-frictional-property-of-ultrasonic-vibration-assisted-milled-surface	18	1	0	/mech/research/publications/2019_2_an-experimental-study-on-surface-roughness-and-frictional-property-of-ultrasonic-vibration-assisted-milled-surface/			0				0	0						An experimental study on surface roughness and frictional property of ultrasonic-vibration-assisted milled surface		2			2019-01-01	Proceedings of IMECH-E, Part C: Journal of Mechanical Engineering Science	DOI: 10.1177/0954406219834587			0	G.C. Verma, P.M. Pandey and U.S. Dixit
1227	1227	0001000100030001000I	5	0	Thermo-mechanical analysis of CO2 Laser butt welding on AISI 304 steel thin plates	Thermo-mechanical analysis of CO2 Laser butt welding on AISI 304 steel thin plates	2018_2_thermo-mechanical-analysis-of-co2-laser-butt-welding-on-aisi-304-steel-thin-plates	18	1	0	/mech/research/publications/2018_2_thermo-mechanical-analysis-of-co2-laser-butt-welding-on-aisi-304-steel-thin-plates/			0				0	0						Thermo-mechanical analysis of CO2 Laser butt welding on AISI 304 steel thin plates		2			2018-01-01	Internation Journal of Steel Structures	DOI 10.1007/s13296-018-0085-z,pp 1-14 (accepted). February 2019, Volume 19, Issue 1, pp 14–27			0	Rakesh Bhadra, Pardeep Pankaj, Pankaj Biswas and U. S. Dixit
1228	1228	0001000100030001000J	5	0	Tribo-mechanical, surface morphological comparison of un-textured, mechanical micro-textured (MµT) and coated-MµT cutting tools during machining	Tribo-mechanical, surface morphological comparison of un-textured, mechanical micro-textured (MµT) and coated-MµT cutting tools during machining	2018_2_tribo-mechanical-surface-morphological-comparison-of-un-textured-mechanical-micro-textured-mt-and-coated-mt-cutting-tools-during-machining	18	1	0	/mech/research/publications/2018_2_tribo-mechanical-surface-morphological-comparison-of-un-textured-mechanical-micro-textured-mt-and-coated-mt-cutting-tools-during-machining/			0				0	0						Tribo-mechanical, surface morphological comparison of un-textured, mechanical micro-textured (MµT) and coated-MµT cutting tools during machining		2		DOI: 10.1177/1350650118764975	2018-01-01	Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology	Available online			0	K.K. Gajrani, R. P. K. Reddy and M.R. Sankar
1229	1229	0001000100030001000K	5	0	Experimental investigation of nanosecond-pulsed Nd:YAG laser beam micromachining on 304 stainless steel	Experimental investigation of nanosecond-pulsed Nd:YAG laser beam micromachining on 304 stainless steel	2018_2_experimental-investigation-of-nanosecond-pulsed-ndyag-laser-beam-micromachining-on-304-stainless-steel	18	1	0	/mech/research/publications/2018_2_experimental-investigation-of-nanosecond-pulsed-ndyag-laser-beam-micromachining-on-304-stainless-steel/			0				0	0						Experimental investigation of nanosecond-pulsed Nd:YAG laser beam micromachining on 304 stainless steel		2		DOI: 10.1177/2516598418766937	2018-01-01	Journal of Micromanufacturing	Available online			0	Rasmi Ranjan Behera, M. Ravi Sankar, Prahlad Kumar Baruah, Ashwini Kumar Sharma, Alika Khare
1230	1230	0001000100030001000L	5	0	Medium rheological characterization and performance study during rotational abrasive flow finishing (R-AFF) of Al alloy and Al alloy/SiC MMCs	Medium rheological characterization and performance study during rotational abrasive flow finishing (R-AFF) of Al alloy and Al alloy/SiC MMCs	2018_2_medium-rheological-characterization-and-performance-study-during-rotational-abrasive-flow-finishing-r-aff-of-al-alloy-and-al-alloysic-mmcs	18	1	0	/mech/research/publications/2018_2_medium-rheological-characterization-and-performance-study-during-rotational-abrasive-flow-finishing-r-aff-of-al-alloy-and-al-alloysic-mmcs/			0				0	0						Medium rheological characterization and performance study during rotational abrasive flow finishing (R-AFF) of Al alloy and Al alloy/SiC MMCs		2		DOI: 10.1007/s00170-018-2244-y	2018-01-01	International Journal of Advanced Manufacturing Technology	Available online			0	M. Ravi Sankar, V.K. Jain, J. Ramkumar, Shivesh K. Sareen, Sachin Singh
1231	1231	0001000100030001000M	5	0	Laser cladding with HA and functionally graded TiO2-HA precursors on Ti-6Al-4V alloy for enhancing bioactivity and cyto-compatibality	Laser cladding with HA and functionally graded TiO2-HA precursors on Ti-6Al-4V alloy for enhancing bioactivity and cyto-compatibality	2018_2_laser-cladding-with-ha-and-functionally-graded-tio2-ha-precursors-on-ti-6al-4v-alloy-for-enhancing-bioactivity-and-cyto-compatibality	18	1	0	/mech/research/publications/2018_2_laser-cladding-with-ha-and-functionally-graded-tio2-ha-precursors-on-ti-6al-4v-alloy-for-enhancing-bioactivity-and-cyto-compatibality/			0				0	0						Laser cladding with HA and functionally graded TiO2-HA precursors on Ti-6Al-4V alloy for enhancing bioactivity and cyto-compatibality		2		DOI: 10.1016/j.surfcoat.2018.08.044	2018-01-01	Surface and Coatings Technology	Available online			0	Rasmi Ranjan Behera, Abshar Hasan, M. Ravi Sankar, L.M. Pandey
1232	1232	0001000100030001000N	5	0	Magnetic field assisted finishing process for super-finished Ti alloy implant and its 3D surface characterization	Magnetic field assisted finishing process for super-finished Ti alloy implant and its 3D surface characterization	2018_2_magnetic-field-assisted-finishing-process-for-super-finished-ti-alloy-implant-and-its-3d-surface-characterization	18	1	0	/mech/research/publications/2018_2_magnetic-field-assisted-finishing-process-for-super-finished-ti-alloy-implant-and-its-3d-surface-characterization/			0				0	0						Magnetic field assisted finishing process for super-finished Ti alloy implant and its 3D surface characterization		2		DOI: https://doi.org/10.1177/2516598418785506	2018-01-01	The Proceedings of the Institution of Mechanical Engineers	Available online			0	Anwesa Barman, Manas Das
1233	1233	0001000100030001000O	5	0	Multi-objective optimization of cutting parameters during sustainable dry hard turning of AISI 52100 steel with newly develop HSN2coated carbide insert	Multi-objective optimization of cutting parameters during sustainable dry hard turning of AISI 52100 steel with newly develop HSN2coated carbide insert	2018_2_multi-objective-optimization-of-cutting-parameters-during-sustainable-dry-hard-turning-of-aisi-52100-steel-with-newly-develop-hsn2coated-carbide-insert	18	1	0	/mech/research/publications/2018_2_multi-objective-optimization-of-cutting-parameters-during-sustainable-dry-hard-turning-of-aisi-52100-steel-with-newly-develop-hsn2coated-carbide-insert/			0				0	0						Multi-objective optimization of cutting parameters during sustainable dry hard turning of AISI 52100 steel with newly develop HSN2coated carbide insert		2		DOI: https://doi.org/10.1016/j.measurement.2018.10.009	2018-01-01	Measurement	Available online			0	Anupam Alok, Manas Das
1234	1234	0001000100030001000P	5	0	Application of Active Magnetic Bearings for In-Situ Flexible Rotor Residual Balancing Using a Novel Generalized Influence Coefficient Method	Application of Active Magnetic Bearings for In-Situ Flexible Rotor Residual Balancing Using a Novel Generalized Influence Coefficient Method	2018_2_application-of-active-magnetic-bearings-for-in-situ-flexible-rotor-residual-balancing-using-a-novel-generalized-influence-coefficient-method	18	1	0	/mech/research/publications/2018_2_application-of-active-magnetic-bearings-for-in-situ-flexible-rotor-residual-balancing-using-a-novel-generalized-influence-coefficient-method/			0				0	0						Application of Active Magnetic Bearings for In-Situ Flexible Rotor Residual Balancing Using a Novel Generalized Influence Coefficient Method		2		https://doi.org/10.1080/17415977.2018.1503258	2018-01-01	Inverse Problems in Science & Engineering	Available online			0	G. Ranjan and R. Tiwari
1235	1235	0001000100030001000Q	5	0	Identification of Speed-Dependent Active Magnetic Bearing Parameters and Rotor Balancing in High-Speed Rotor Systems	Identification of Speed-Dependent Active Magnetic Bearing Parameters and Rotor Balancing in High-Speed Rotor Systems	2018_2_identification-of-speed-dependent-active-magnetic-bearing-parameters-and-rotor-balancing-in-high-speed-rotor-systems	18	1	0	/mech/research/publications/2018_2_identification-of-speed-dependent-active-magnetic-bearing-parameters-and-rotor-balancing-in-high-speed-rotor-systems/			0				0	0						Identification of Speed-Dependent Active Magnetic Bearing Parameters and Rotor Balancing in High-Speed Rotor Systems		2		doi:10.1115/1.4042026	2018-01-01	ASME, Journal of Dynamic Systems, Measurement and Control	Available online			0	Vikas Prasad and R. Tiwari
1236	1236	0001000100030001000R	5	0	On-line Time Domain Vibration and Current Signals Based Multi-Fault Diagnosis of Centrifugal Pumps using Support Vector Machines	On-line Time Domain Vibration and Current Signals Based Multi-Fault Diagnosis of Centrifugal Pumps using Support Vector Machines	2018_2_on-line-time-domain-vibration-and-current-signals-based-multi-fault-diagnosis-of-centrifugal-pumps-using-support-vector-machines	18	1	0	/mech/research/publications/2018_2_on-line-time-domain-vibration-and-current-signals-based-multi-fault-diagnosis-of-centrifugal-pumps-using-support-vector-machines/			0				0	0						On-line Time Domain Vibration and Current Signals Based Multi-Fault Diagnosis of Centrifugal Pumps using Support Vector Machines		2		https://doi.org/10.1007/s10921-018-0544-7	2018-01-01	Journal of Nondestructive Evaluation	Available online	1	18	0	J. S. Rapur and R. Tiwari
1237	1237	0001000100030001000S	5	0	Dynamic Analysis of Sandwich Plates with Isotropic Skins and Viscoelastic Core	Dynamic Analysis of Sandwich Plates with Isotropic Skins and Viscoelastic Core	2018_2_dynamic-analysis-of-sandwich-plates-with-isotropic-skins-and-viscoelastic-core	18	1	0	/mech/research/publications/2018_2_dynamic-analysis-of-sandwich-plates-with-isotropic-skins-and-viscoelastic-core/			0				0	0						Dynamic Analysis of Sandwich Plates with Isotropic Skins and Viscoelastic Core		2			2018-01-01	International Journal of Structural Stability and Dynamics	Available Online			0	R. K. Ojha and S. K Dwivedy
1238	1238	0001000100030001000T	5	0	Laser surface alloying of aluminum for improving acid corrosion resistance	Laser surface alloying of aluminum for improving acid corrosion resistance	2018_2_laser-surface-alloying-of-aluminum-for-improving-acid-corrosion-resistance	18	1	0	/mech/research/publications/2018_2_laser-surface-alloying-of-aluminum-for-improving-acid-corrosion-resistance/			0				0	0						Laser surface alloying of aluminum for improving acid corrosion resistance		2			2018-01-01	Journal of Institution of Engineers, Series (C)	Available online			0	W.G. Jiru, M.R. Sankar and U.S. Dixit
1239	1239	0001000100030001000U	5	0	Probing the Influence of Confinement and Wettability on Droplet Displacement Behavior: A Mesoscale Analysis	Probing the Influence of Confinement and Wettability on Droplet Displacement Behavior: A Mesoscale Analysis	2018_2_probing-the-influence-of-confinement-and-wettability-on-droplet-displacement-behavior-a-mesoscale-analysis	18	1	0	/mech/research/publications/2018_2_probing-the-influence-of-confinement-and-wettability-on-droplet-displacement-behavior-a-mesoscale-analysis/			0				0	0						Probing the Influence of Confinement and Wettability on Droplet Displacement Behavior: A Mesoscale Analysis		2			2018-01-01	European Journal of Mechanics, B/Fluids	available online			0	Randive, P., Dalal, A., and Mukherjee, P.
1240	1240	0001000100030001000V	5	0	A new Green-Gauss Reconstruction on Unstructured Meshes. Part I: Gradient Reconstruction	A new Green-Gauss Reconstruction on Unstructured Meshes. Part I: Gradient Reconstruction	2018_2_a-new-green-gauss-reconstruction-on-unstructured-meshes-part-i-gradient-reconstruction	18	1	0	/mech/research/publications/2018_2_a-new-green-gauss-reconstruction-on-unstructured-meshes-part-i-gradient-reconstruction/			0				0	0						A new Green-Gauss Reconstruction on Unstructured Meshes. Part I: Gradient Reconstruction		2			2018-01-01	Journal of Computational Physics	available online			0	Deka, M., Brahmachary, S., Thirumalaisamy, R., Dalal, A., and Natarajan, G.
1241	1241	0001000100030001000W	5	0	Prediction of accurate mixed mode fatigue crack growth curves using the Paris? law	Prediction of accurate mixed mode fatigue crack growth curves using the Paris? law	2018_2_prediction-of-accurate-mixed-mode-fatigue-crack-growth-curves-using-the-paris-law	18	1	0	/mech/research/publications/2018_2_prediction-of-accurate-mixed-mode-fatigue-crack-growth-curves-using-the-paris-law/			0				0	0						Prediction of accurate mixed mode fatigue crack growth curves using the Paris? law		2			2018-01-01	Journal of The Institution of Engineers (India): Series C.	Available online			0	S. Sajith, K. S. R. Krishna Murthy and P. S. Robi
1242	1242	0001000100030001000X	5	0	Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process	Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process	2018_2_viscoelastic-medium-modeling-and-surface-roughness-simulation-of-microholes-finished-by-abrasive-flow-finishing-process	18	1	0	/mech/research/publications/2018_2_viscoelastic-medium-modeling-and-surface-roughness-simulation-of-microholes-finished-by-abrasive-flow-finishing-process/			0				0	0						Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process		2		DOI: 10.1007/s00170-018-1912-2.	2018-01-01	International Journal of Advanced Manufacturing Technology	Available online			0	Sachin Singh, Deepu Kumar, M. Ravi Sankar, V.K. Jain
1243	1243	0001000100030001000Y	5	0	A strain gage technique for mode I notch stress intensity factor of sharp Vnotched configurations	A strain gage technique for mode I notch stress intensity factor of sharp Vnotched configurations	2018_2_a-strain-gage-technique-for-mode-i-notch-stress-intensity-factor-of-sharp-vnotched-configurations	18	1	0	/mech/research/publications/2018_2_a-strain-gage-technique-for-mode-i-notch-stress-intensity-factor-of-sharp-vnotched-configurations/			0				0	0						A strain gage technique for mode I notch stress intensity factor of sharp Vnotched configurations		2			2018-01-01	Journal of The Institution of Engineers (India): Series C.	Available online			0	Pranjol Paul, K.S.R.K. Murthy and D. Chakraborty
1244	1244	0001000100030001000Z	5	0	An element-free Galerkin method using vertically averaged multiphase flow model for carbon sequestration	An element-free Galerkin method using vertically averaged multiphase flow model for carbon sequestration	2018_2_an-element-free-galerkin-method-using-vertically-averaged-multiphase-flow-model-for-carbon-sequestration	18	1	0	/mech/research/publications/2018_2_an-element-free-galerkin-method-using-vertically-averaged-multiphase-flow-model-for-carbon-sequestration/			0				0	0						An element-free Galerkin method using vertically averaged multiphase flow model for carbon sequestration		2			2018-01-01	Computers and Geotechnics	Available Online			0	P. Dinesh, M.R. Behera, P.G. Ranjith, N. Muthu
1245	1245	00010001000300010010	5	0	Examining the aerodynamic drag and lift characteristics of a newly developed elliptical-bladed Savonius rotor	Examining the aerodynamic drag and lift characteristics of a newly developed elliptical-bladed Savonius rotor	2018_2_examining-the-aerodynamic-drag-and-lift-characteristics-of-a-newly-developed-elliptical-bladed-savonius-rotor	18	1	0	/mech/research/publications/2018_2_examining-the-aerodynamic-drag-and-lift-characteristics-of-a-newly-developed-elliptical-bladed-savonius-rotor/			0				0	0						Examining the aerodynamic drag and lift characteristics of a newly developed elliptical-bladed Savonius rotor		2			2018-01-01	ASME Journal of Energy Resources Technology	Available Online			0	N. Alom and U. K. Saha
1246	1246	00010001000300010011	5	0	A critique on the research activities and potential benefits of dual fuel diesel engine run on biogas and biofuel-blended biodiesel	A critique on the research activities and potential benefits of dual fuel diesel engine run on biogas and biofuel-blended biodiesel	2018_2_a-critique-on-the-research-activities-and-potential-benefits-of-dual-fuel-diesel-engine-run-on-biogas-and-biofuel-blended-biodiesel	18	1	0	/mech/research/publications/2018_2_a-critique-on-the-research-activities-and-potential-benefits-of-dual-fuel-diesel-engine-run-on-biogas-and-biofuel-blended-biodiesel/			0				0	0						A critique on the research activities and potential benefits of dual fuel diesel engine run on biogas and biofuel-blended biodiesel		2			2018-01-01	ASME Journal of Engineering for Gas Turbines and Power	Available Online			0	A. Sarkar and U. K. Saha
1247	1247	00010001000300010012	5	0	Prediction of impulse heat load on thin film gauges through soft computing technique	Prediction of impulse heat load on thin film gauges through soft computing technique	2018_2_prediction-of-impulse-heat-load-on-thin-film-gauges-through-soft-computing-technique	18	1	0	/mech/research/publications/2018_2_prediction-of-impulse-heat-load-on-thin-film-gauges-through-soft-computing-technique/			0				0	0						Prediction of impulse heat load on thin film gauges through soft computing technique		2		doi: 10.1007/s40032-018-0458-2	2018-01-01	Journal of the Institution of Engineers (India): Series C	Article in Press			0	S. Sarma, N. Sahoo and A. Unal
1248	1248	00010001000300010013	5	0	Experimental investigation and numerical modelling on the performance assessments of evacuated U–Tube solar collector systems	Experimental investigation and numerical modelling on the performance assessments of evacuated U–Tube solar collector systems	2018_2_experimental-investigation-and-numerical-modelling-on-the-performance-assessments-of-evacuated-utube-solar-collector-systems	18	1	0	/mech/research/publications/2018_2_experimental-investigation-and-numerical-modelling-on-the-performance-assessments-of-evacuated-utube-solar-collector-systems/			0				0	0						Experimental investigation and numerical modelling on the performance assessments of evacuated U–Tube solar collector systems		2		https://doi.org/10.1016/j.renene.2018.09.066	2018-01-01	Renewable Energy	Article in Press			0	B Kiran Naik, Mrinal Bhowmik, P Muthukumar
